   #Energy      xx              yy   
  0.10889900E+02 -0.14037436E+00 -0.14037436E+00
  0.10951400E+02 -0.22126755E+00 -0.22126755E+00
  0.11013000E+02 -0.31281079E+00 -0.31281079E+00
  0.11074500E+02 -0.41248930E+00 -0.41248930E+00
  0.11136000E+02 -0.49139196E+00 -0.49139196E+00
  0.11197500E+02 -0.52347818E+00 -0.52347818E+00
  0.11259100E+02 -0.50135368E+00 -0.50135368E+00
  0.11320600E+02 -0.37146512E+00 -0.37146512E+00
  0.11382100E+02 -0.14452094E+00 -0.14452094E+00
  0.11443600E+02  0.21914976E-01  0.21914976E-01
  0.11505200E+02  0.89057525E-01  0.89057525E-01
  0.11566700E+02  0.14881932E+00  0.14881932E+00
  0.11628200E+02  0.19012428E+00  0.19012428E+00
  0.11689700E+02  0.15341178E+00  0.15341178E+00
  0.11751300E+02  0.60988367E-01  0.60988367E-01
  0.11812800E+02 -0.36404327E-01 -0.36404327E-01
  0.11874300E+02 -0.13529217E+00 -0.13529217E+00
  0.11935800E+02 -0.23318553E+00 -0.23318553E+00
  0.11997400E+02 -0.32242966E+00 -0.32242966E+00
  0.12058900E+02 -0.41616458E+00 -0.41616458E+00
  0.12120400E+02 -0.50576741E+00 -0.50576741E+00
  0.12181900E+02 -0.56322514E+00 -0.56322514E+00
  0.12243500E+02 -0.56794499E+00 -0.56794499E+00
  0.12305000E+02 -0.54644114E+00 -0.54644114E+00
  0.12366500E+02 -0.54439596E+00 -0.54439596E+00
  0.12428000E+02 -0.54780331E+00 -0.54780331E+00
  0.12489600E+02 -0.54458924E+00 -0.54458924E+00
  0.12551100E+02 -0.57201368E+00 -0.57201368E+00
  0.12612600E+02 -0.64128984E+00 -0.64128984E+00
  0.12674100E+02 -0.69499930E+00 -0.69499930E+00
  0.12735700E+02 -0.71528583E+00 -0.71528583E+00
  0.12797200E+02 -0.78258213E+00 -0.78258213E+00
  0.12858700E+02 -0.95954541E+00 -0.95954541E+00
  0.12920200E+02 -0.12084431E+01 -0.12084431E+01
  0.12981800E+02 -0.14095387E+01 -0.14095387E+01
  0.13043300E+02 -0.14333233E+01 -0.14333233E+01
  0.13104800E+02 -0.12964635E+01 -0.12964635E+01
  0.13166300E+02 -0.11327239E+01 -0.11327239E+01
  0.13227900E+02 -0.96410558E+00 -0.96410558E+00
  0.13289400E+02 -0.72606671E+00 -0.72606671E+00
  0.13350900E+02 -0.45914138E+00 -0.45914138E+00
  0.13412400E+02 -0.30239598E+00 -0.30239598E+00
  0.13474000E+02 -0.24935941E+00 -0.24935941E+00
  0.13535500E+02 -0.19397225E+00 -0.19397225E+00
  0.13597000E+02 -0.15470127E+00 -0.15470127E+00
  0.13658500E+02 -0.13320085E+00 -0.13320085E+00
  0.13720100E+02 -0.10079278E+00 -0.10079278E+00
  0.13781600E+02 -0.44356882E-03 -0.44356882E-03
  0.13843100E+02  0.23781137E+00  0.23781137E+00
  0.13904600E+02  0.51902019E+00  0.51902019E+00
  0.13966200E+02  0.72472295E+00  0.72472295E+00
  0.14027700E+02  0.82803209E+00  0.82803209E+00
  0.14089200E+02  0.83971142E+00  0.83971142E+00
  0.14150700E+02  0.78405462E+00  0.78405462E+00
  0.14212300E+02  0.70124195E+00  0.70124195E+00
  0.14273800E+02  0.64110744E+00  0.64110744E+00
  0.14335300E+02  0.62552946E+00  0.62552946E+00
  0.14396800E+02  0.64002897E+00  0.64002897E+00
  0.14458400E+02  0.64625762E+00  0.64625762E+00
  0.14519900E+02  0.62505579E+00  0.62505579E+00
  0.14581400E+02  0.58147614E+00  0.58147614E+00
  0.14642900E+02  0.52207179E+00  0.52207179E+00
  0.14704500E+02  0.47989871E+00  0.47989871E+00
  0.14766000E+02  0.47240079E+00  0.47240079E+00
  0.14827500E+02  0.46888017E+00  0.46888017E+00
  0.14889000E+02  0.45572979E+00  0.45572979E+00
  0.14950600E+02  0.43259320E+00  0.43259320E+00
  0.15012100E+02  0.40248326E+00  0.40248326E+00
  0.15073600E+02  0.37732743E+00  0.37732743E+00
  0.15135100E+02  0.36023412E+00  0.36023412E+00
  0.15196700E+02  0.33015238E+00  0.33015238E+00
  0.15258200E+02  0.27980084E+00  0.27980084E+00
  0.15319700E+02  0.23741487E+00  0.23741487E+00
  0.15381200E+02  0.18663493E+00  0.18663493E+00
  0.15442800E+02  0.12773813E+00  0.12773813E+00
  0.15504300E+02  0.82836477E-01  0.82836477E-01
  0.15565800E+02  0.46341976E-01  0.46341976E-01
  0.15627300E+02  0.55075626E-01  0.55075626E-01
  0.15688900E+02  0.16259595E+00  0.16259595E+00
  0.15750400E+02  0.33128254E+00  0.33128254E+00
  0.15811900E+02  0.52609110E+00  0.52609110E+00
  0.15873400E+02  0.76148843E+00  0.76148843E+00
  0.15935000E+02  0.92574344E+00  0.92574344E+00
