      #Energy        TDOS-UP        TDOS-DOWN
     -18.15549       2.06900      -3.59200
     -18.13649       1.59500      -3.76300
     -18.11749       1.22500      -5.42000
     -18.09749       0.67660      -3.57100
     -18.07849       0.05617      -2.77200
     -18.05849       0.00000      -2.29900
     -18.03949       0.00000      -1.83500
     -18.01949       0.00000      -1.44900
     -18.00049       0.00000      -1.11700
     -17.98049       0.00000      -0.61790
     -17.96149       0.00000      -0.05617
     -17.94149       0.00000       0.00000
     -17.92249       0.00000       0.00000
     -17.90249       0.00000       0.00000
     -17.88349       0.00000       0.00000
     -17.86349       0.00000       0.00000
     -17.84449       0.00000       0.00000
     -17.82549       0.00000       0.00000
     -17.80549       0.00000       0.00000
     -17.78649       0.00000       0.00000
     -17.76649       0.00000       0.00000
     -17.74749       0.00000       0.00000
     -17.72749       0.00000       0.00000
     -17.70849       0.00000       0.00000
     -17.68849       0.00000       0.00000
     -17.66949       0.00000       0.00000
     -17.64949       0.00000       0.00000
     -17.63049       0.00000       0.00000
     -17.61049       0.00000       0.00000
     -17.59149       0.00000       0.00000
     -17.57249       0.00000       0.00000
     -17.55249       0.00000       0.00000
     -17.53349       0.00000       0.00000
     -17.51349       0.00000       0.00000
     -17.49449       0.00000       0.00000
     -17.47449       0.00000       0.00000
     -17.45549       0.00000       0.00000
     -17.43549       0.00000       0.00000
     -17.41649       0.00000       0.00000
     -17.39649       0.00000       0.00000
     -17.37749       0.00000       0.00000
     -17.35749       0.00000       0.00000
     -17.33849       0.00000       0.00000
     -17.31849       0.00000       0.00000
     -17.29949       0.00000       0.00000
     -17.28049       0.00000       0.00000
     -17.26049       0.00000       0.00000
     -17.24149       0.00000       0.00000
     -17.22149       0.00000       0.00000
     -17.20249       0.00000       0.00000
     -17.18249       0.00000       0.00000
     -17.16349       0.00000       0.00000
     -17.14349       0.00000       0.00000
     -17.12449       0.00000       0.00000
     -17.10449       0.00000       0.00000
     -17.08549       0.00000       0.00000
     -17.06549       0.00000       0.00000
     -17.04649       0.00000       0.00000
     -17.02649       0.00000       0.00000
     -17.00749       0.00000       0.00000
     -16.98849       0.00000       0.00000
     -16.96849       0.00000       0.00000
     -16.94949       0.00000       0.00000
     -16.92949       0.00000       0.00000
     -16.91049       0.00000       0.00000
     -16.89049       0.00000       0.00000
     -16.87149       0.00000       0.00000
     -16.85149       0.00000       0.00000
     -16.83249       0.00000       0.00000
     -16.81249       0.00000       0.00000
     -16.79349       0.00000       0.00000
     -16.77349       0.00000       0.00000
     -16.75449       0.00000       0.00000
     -16.73449       0.00000       0.00000
     -16.71549       0.00000       0.00000
     -16.69649       0.00000       0.00000
     -16.67649       0.00000       0.00000
     -16.65749       0.00000       0.00000
     -16.63749       0.00000       0.00000
     -16.61849       0.00000       0.00000
     -16.59849       0.00000       0.00000
     -16.57949       0.00000       0.00000
     -16.55949       0.00000       0.00000
     -16.54049       0.00000       0.00000
     -16.52049       0.00000       0.00000
