   #Energy      xx              yy   
  0.10606300E+02 -0.18143462E+00 -0.18143462E+00
  0.10660100E+02 -0.24800271E+00 -0.24800271E+00
  0.10714000E+02 -0.27262988E+00 -0.27262988E+00
  0.10767800E+02 -0.27070500E+00 -0.27070500E+00
  0.10821600E+02 -0.26456572E+00 -0.26456572E+00
  0.10875500E+02 -0.24548477E+00 -0.24548477E+00
  0.10929300E+02 -0.24555540E+00 -0.24555540E+00
  0.10983200E+02 -0.30405936E+00 -0.30405936E+00
  0.11037000E+02 -0.41065612E+00 -0.41065612E+00
  0.11090800E+02 -0.51533128E+00 -0.51533128E+00
  0.11144700E+02 -0.57731686E+00 -0.57731686E+00
  0.11198500E+02 -0.61481087E+00 -0.61481087E+00
  0.11252300E+02 -0.67175102E+00 -0.67175102E+00
  0.11306200E+02 -0.76461878E+00 -0.76461878E+00
  0.11360000E+02 -0.83254533E+00 -0.83254533E+00
  0.11413900E+02 -0.78393891E+00 -0.78393891E+00
  0.11467700E+02 -0.60651145E+00 -0.60651145E+00
  0.11521500E+02 -0.32443383E+00 -0.32443383E+00
  0.11575400E+02  0.83864049E-02  0.83864049E-02
  0.11629200E+02  0.27859934E+00  0.27859934E+00
  0.11683100E+02  0.41579180E+00  0.41579180E+00
  0.11736900E+02  0.43490229E+00  0.43490229E+00
  0.11790700E+02  0.37558043E+00  0.37558043E+00
  0.11844600E+02  0.27985032E+00  0.27985032E+00
  0.11898400E+02  0.17930472E+00  0.17930472E+00
  0.11952300E+02  0.86498482E-01  0.86498482E-01
  0.12006100E+02 -0.96649423E-03 -0.96649423E-03
  0.12059900E+02 -0.99412495E-01 -0.99412495E-01
  0.12113800E+02 -0.20566211E+00 -0.20566211E+00
  0.12167600E+02 -0.31030402E+00 -0.31030402E+00
  0.12221400E+02 -0.40809100E+00 -0.40809100E+00
  0.12275300E+02 -0.46097893E+00 -0.46097893E+00
  0.12329100E+02 -0.46706853E+00 -0.46706853E+00
  0.12383000E+02 -0.47668639E+00 -0.47668639E+00
  0.12436800E+02 -0.48866898E+00 -0.48866898E+00
  0.12490600E+02 -0.48123068E+00 -0.48123068E+00
  0.12544500E+02 -0.45745552E+00 -0.45745552E+00
  0.12598300E+02 -0.43710576E+00 -0.43710576E+00
  0.12652200E+02 -0.41524467E+00 -0.41524467E+00
  0.12706000E+02 -0.36637999E+00 -0.36637999E+00
  0.12759800E+02 -0.32653648E+00 -0.32653648E+00
  0.12813700E+02 -0.34359473E+00 -0.34359473E+00
  0.12867500E+02 -0.40925926E+00 -0.40925926E+00
  0.12921400E+02 -0.51530325E+00 -0.51530325E+00
  0.12975200E+02 -0.67287144E+00 -0.67287144E+00
  0.13029000E+02 -0.86854271E+00 -0.86854271E+00
  0.13082900E+02 -0.10831925E+01 -0.10831925E+01
  0.13136700E+02 -0.13103580E+01 -0.13103580E+01
  0.13190500E+02 -0.15217211E+01 -0.15217211E+01
  0.13244400E+02 -0.16403144E+01 -0.16403144E+01
  0.13298200E+02 -0.15841387E+01 -0.15841387E+01
  0.13352100E+02 -0.13951522E+01 -0.13951522E+01
  0.13405900E+02 -0.10743222E+01 -0.10743222E+01
  0.13459700E+02 -0.57566855E+00 -0.57566855E+00
  0.13513600E+02 -0.91488049E-01 -0.91488049E-01
  0.13567400E+02  0.21439480E+00  0.21439480E+00
  0.13621300E+02  0.45549369E+00  0.45549369E+00
  0.13675100E+02  0.75496236E+00  0.75496236E+00
  0.13728900E+02  0.10288121E+01  0.10288121E+01
  0.13782800E+02  0.11260509E+01  0.11260509E+01
  0.13836600E+02  0.10386651E+01  0.10386651E+01
  0.13890500E+02  0.87598921E+00  0.87598921E+00
  0.13944300E+02  0.74232237E+00  0.74232237E+00
  0.13998100E+02  0.66427852E+00  0.66427852E+00
  0.14052000E+02  0.60281100E+00  0.60281100E+00
  0.14105800E+02  0.52994748E+00  0.52994748E+00
