     #Energy   up_In_all   dw_In_all   up_Fe_all   dw_Fe_all    up_O_all    dw_O_all
   -19.74256     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -19.66656     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -19.58956     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -19.51356     0.00001    -0.00001     0.00000    -0.00000     0.00000    -0.00000
   -19.43756     0.00015    -0.00015     0.00000    -0.00000     0.00003    -0.00003
   -19.36056     0.00114    -0.00111     0.00000    -0.00000     0.00026    -0.00025
   -19.28456     0.00652    -0.00638     0.00000    -0.00000     0.00148    -0.00144
   -19.20856     0.02807    -0.02759     0.00000    -0.00000     0.00636    -0.00625
   -19.13156     0.09110    -0.08990     0.00000    -0.00000     0.02064    -0.02036
   -19.05556     0.22302    -0.22079     0.00000    -0.00000     0.05057    -0.05008
   -18.97956     0.41242    -0.40986     0.00000    -0.00000     0.09364    -0.09305
   -18.90256     0.57832    -0.57674     0.00000    -0.00000     0.13157    -0.13116
   -18.82656     0.61870    -0.61923     0.00000    -0.00000     0.14129    -0.14139
   -18.75056     0.51256    -0.51455     0.00000    -0.00000     0.11800    -0.11849
   -18.67356     0.34010    -0.34229     0.00000    -0.00000     0.07971    -0.08019
   -18.59756     0.19643    -0.19782     0.00000    -0.00000     0.04784    -0.04815
   -18.52156     0.11571    -0.11639     0.00000    -0.00000     0.03009    -0.03023
   -18.44456     0.08080    -0.08105     0.00000    -0.00000     0.02254    -0.02260
   -18.36856     0.06684    -0.06693     0.00000    -0.00000     0.01964    -0.01966
   -18.29156     0.06144    -0.06145     0.00000    -0.00000     0.01875    -0.01875
   -18.21556     0.05915    -0.05917     0.00000    -0.00000     0.01856    -0.01856
   -18.13956     0.05592    -0.05598     0.00000    -0.00000     0.01790    -0.01792
   -18.06256     0.05195    -0.05198     0.00000    -0.00000     0.01697    -0.01698
   -17.98656     0.05068    -0.05065     0.00000    -0.00000     0.01692    -0.01690
   -17.91056     0.05160    -0.05159     0.00000    -0.00000     0.01753    -0.01751
   -17.83356     0.05037    -0.05041     0.00000    -0.00000     0.01729    -0.01731
   -17.75756     0.04655    -0.04661     0.00000    -0.00000     0.01613    -0.01614
   -17.68156     0.04486    -0.04484     0.00000    -0.00000     0.01568    -0.01568
   -17.60456     0.04747    -0.04739     0.00000    -0.00000     0.01656    -0.01655
   -17.52856     0.05283    -0.05275     0.00000    -0.00000     0.01732    -0.01732
   -17.45256     0.06866    -0.06839     0.00000    -0.00000     0.01729    -0.01730
   -17.37556     0.12800    -0.12700     0.00000    -0.00000     0.01886    -0.01883
   -17.29956     0.28978    -0.28729     0.00000    -0.00000     0.02596    -0.02584
   -17.22356     0.60671    -0.60232     0.00000    -0.00000     0.04047    -0.04026
