      #Energy        TDOS-UP        TDOS-DOWN
     -16.48882       0.00000       0.00000
     -16.47482       0.00000       0.00000
     -16.46082       0.00000       0.00000
     -16.44682       0.00000       0.00000
     -16.43282       0.00000       0.00000
     -16.41982       0.00000       0.00000
     -16.40582       0.00000       0.00000
     -16.39182       0.00000       0.00000
     -16.37782       0.00000       0.00000
     -16.36382       0.00000       0.00000
     -16.35082       0.00000       0.00000
     -16.33682       0.00000       0.00000
     -16.32282       0.73480       0.00000
     -16.30882       2.20500       0.00000
     -16.29482       4.24400       0.00000
     -16.28082       9.89500       0.00000
     -16.26782      10.73000       0.00000
     -16.25382      12.93000       0.00000
     -16.23982      12.10000       0.00000
     -16.22582       6.42200       0.00000
     -16.21182       4.63900       0.00000
     -16.19882      37.72000       0.00000
     -16.18482      23.27000       0.00000
     -16.17082      23.53000       0.00000
     -16.15682      27.32000       0.00000
     -16.14282      35.61000       0.00000
     -16.12982      23.76000       0.00000
     -16.11582       0.00000       0.00000
     -16.10182       0.00000       0.00000
     -16.08782       0.00000       0.00000
     -16.07382       0.00000       0.00000
     -16.06082       0.00000       0.00000
     -16.04682       0.00000       0.00000
     -16.03282       0.00000       0.00000
     -16.01882       0.00000       0.00000
     -16.00482       0.00000       0.00000
     -15.99182       0.00000       0.00000
     -15.97782       0.00000       0.00000
     -15.96382       0.00000       0.00000
     -15.94982       0.00000       0.00000
     -15.93582       0.00000       0.00000
     -15.92282       0.00000       0.00000
     -15.90882       0.00000       0.00000
     -15.89482       0.00000       0.00000
     -15.88082       0.00000       0.00000
     -15.86682       0.00000       0.00000
     -15.85382       0.00000       0.00000
     -15.83982       0.00000       0.00000
     -15.82582       0.00000       0.00000
     -15.81182       0.00000       0.00000
     -15.79782       0.00000       0.00000
     -15.78482       0.00000       0.00000
     -15.77082       0.00000       0.00000
     -15.75682       0.00000       0.00000
     -15.74282       0.00000       0.00000
     -15.72882       0.00000       0.00000
     -15.71582       0.00000       0.00000
     -15.70182       0.00000       0.00000
     -15.68782       0.00000       0.00000
     -15.67382       0.00000       0.00000
     -15.65982       0.00000       0.00000
     -15.64582       0.00000       0.00000
     -15.63282       0.00000       0.00000
     -15.61882       0.00000       0.00000
     -15.60482       0.00000       0.00000
     -15.59082       0.00000       0.00000
     -15.57682       0.00000       0.00000
     -15.56382       0.00000       0.00000
     -15.54982       0.00000       0.00000
     -15.53582       0.00000       0.00000
     -15.52182       0.00000       0.00000
     -15.50782       0.00000       0.00000
     -15.49482       0.00000       0.00000
     -15.48082       0.00000       0.00000
     -15.46682       0.00000       0.00000
     -15.45282       0.00000       0.00000
     -15.43882       0.00000       0.00000
     -15.42582       0.00000       0.00000
     -15.41182       0.00000       0.00000
     -15.39782       0.00000       0.00000
     -15.38382       0.00000       0.00000
     -15.36982       0.00000       0.00000
     -15.35682       0.00000       0.00000
     -15.34282       0.00000       0.00000
     -15.32882       0.00000       0.00000
     -15.31482       0.00000      -1.26300
     -15.30082       0.00000      -6.35900
     -15.28782       0.00000     -17.00000
     -15.27382       0.00000     -18.25000
     -15.25982       0.00000     -19.36000
     -15.24582       0.00000     -15.37000
     -15.23182       0.00000     -11.81000
     -15.21882       0.00000     -10.82000
     -15.20482       0.00000     -11.19000
     -15.19082       0.00000     -13.49000
     -15.17682       0.00000      -9.63500
     -15.16282       0.00000      -9.76200
     -15.14982       0.00000      -9.90800
     -15.13582       0.00000     -19.57000
     -15.12182       0.00000     -14.41000
     -15.10782       0.00000     -14.62000
     -15.09382       0.00000     -23.76000
     -15.08082       0.00000       0.00000
     -15.06682       0.00000       0.00000
     -15.05282       0.00000       0.00000
     -15.03882       0.00000       0.00000
     -15.02482       0.00000       0.00000
     -15.01182       0.00000       0.00000
     -14.99782       0.00000       0.00000
     -14.98382       0.00000       0.00000
     -14.96982       0.00000       0.00000
     -14.95582       0.00000       0.00000
     -14.94182       0.00000       0.00000
     -14.92882       0.00000       0.00000
     -14.91482       0.00000       0.00000
     -14.90082       0.00000       0.00000
