 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.10092700E+02  0.35697501E+06  0.35697501E+06  0.35697501E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10160000E+02  0.37518699E+06  0.37518699E+06  0.37518699E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10227300E+02  0.38010216E+06  0.38010216E+06  0.38010216E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10294600E+02  0.36928328E+06  0.36928328E+06  0.36928328E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10361900E+02  0.34532394E+06  0.34532394E+06  0.34532394E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10429200E+02  0.31496298E+06  0.31496298E+06  0.31496298E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10496500E+02  0.28587630E+06  0.28587630E+06  0.28587630E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10563700E+02  0.26418320E+06  0.26418320E+06  0.26418320E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10631000E+02  0.25391733E+06  0.25391733E+06  0.25391733E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10698300E+02  0.25765999E+06  0.25765999E+06  0.25765999E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10765600E+02  0.27690732E+06  0.27690732E+06  0.27690732E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10832900E+02  0.31141098E+06  0.31141098E+06  0.31141098E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10900200E+02  0.35772547E+06  0.35772547E+06  0.35772547E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10967400E+02  0.40883486E+06  0.40883486E+06  0.40883486E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11034700E+02  0.45581980E+06  0.45581980E+06  0.45581980E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11102000E+02  0.49071245E+06  0.49071245E+06  0.49071245E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11169300E+02  0.50961839E+06  0.50961839E+06  0.50961839E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11236600E+02  0.51394914E+06  0.51394914E+06  0.51394914E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11303900E+02  0.50904579E+06  0.50904579E+06  0.50904579E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11371200E+02  0.50102228E+06  0.50102228E+06  0.50102228E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11438400E+02  0.49320730E+06  0.49320730E+06  0.49320730E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11505700E+02  0.48500104E+06  0.48500104E+06  0.48500104E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11573000E+02  0.47330975E+06  0.47330975E+06  0.47330975E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11640300E+02  0.45484077E+06  0.45484077E+06  0.45484077E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11707600E+02  0.42888150E+06  0.42888150E+06  0.42888150E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11774900E+02  0.39854791E+06  0.39854791E+06  0.39854791E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11842200E+02  0.36933817E+06  0.36933817E+06  0.36933817E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11909400E+02  0.34721082E+06  0.34721082E+06  0.34721082E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11976700E+02  0.33606186E+06  0.33606186E+06  0.33606186E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12044000E+02  0.33819883E+06  0.33819883E+06  0.33819883E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12111300E+02  0.35460896E+06  0.35460896E+06  0.35460896E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12178600E+02  0.38475508E+06  0.38475508E+06  0.38475508E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12245900E+02  0.42464109E+06  0.42464109E+06  0.42464109E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12313100E+02  0.46655618E+06  0.46655618E+06  0.46655618E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12380400E+02  0.50099102E+06  0.50099102E+06  0.50099102E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12447700E+02  0.52064019E+06  0.52064019E+06  0.52064019E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12515000E+02  0.52398273E+06  0.52398273E+06  0.52398273E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12582300E+02  0.51663682E+06  0.51663682E+06  0.51663682E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12649600E+02  0.50826825E+06  0.50826825E+06  0.50826825E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12716900E+02  0.50790678E+06  0.50790678E+06  0.50790678E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12784100E+02  0.51947537E+06  0.51947537E+06  0.51947537E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12851400E+02  0.54111045E+06  0.54111045E+06  0.54111045E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12918700E+02  0.56676938E+06  0.56676938E+06  0.56676938E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12986000E+02  0.58920159E+06  0.58920159E+06  0.58920159E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13053300E+02  0.60295915E+06  0.60295915E+06  0.60295915E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13120600E+02  0.60570732E+06  0.60570732E+06  0.60570732E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13187900E+02  0.59858927E+06  0.59858927E+06  0.59858927E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13255100E+02  0.58526164E+06  0.58526164E+06  0.58526164E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13322400E+02  0.57123625E+06  0.57123625E+06  0.57123625E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13389700E+02  0.56174538E+06  0.56174538E+06  0.56174538E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13457000E+02  0.55946888E+06  0.55946888E+06  0.55946888E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13524300E+02  0.56281969E+06  0.56281969E+06  0.56281969E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13591600E+02  0.56707011E+06  0.56707011E+06  0.56707011E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13658800E+02  0.56631093E+06  0.56631093E+06  0.56631093E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13726100E+02  0.55614421E+06  0.55614421E+06  0.55614421E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13793400E+02  0.53561357E+06  0.53561357E+06  0.53561357E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13860700E+02  0.50722594E+06  0.50722594E+06  0.50722594E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13928000E+02  0.47617883E+06  0.47617883E+06  0.47617883E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13995300E+02  0.44762896E+06  0.44762896E+06  0.44762896E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14062600E+02  0.42507930E+06  0.42507930E+06  0.42507930E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14129800E+02  0.40942087E+06  0.40942087E+06  0.40942087E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14197100E+02  0.40008912E+06  0.40008912E+06  0.40008912E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14264400E+02  0.39597850E+06  0.39597850E+06  0.39597850E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14331700E+02  0.39597992E+06  0.39597992E+06  0.39597992E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14399000E+02  0.39892370E+06  0.39892370E+06  0.39892370E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
