   #Energy      xx(%)           yy(%)
  0.20925600E+02  0.26208067E+01  0.26208067E+01
  0.20992900E+02  0.25892012E+01  0.25892012E+01
  0.21060200E+02  0.25111094E+01  0.25111094E+01
  0.21127500E+02  0.24015359E+01  0.24015359E+01
  0.21194800E+02  0.22794125E+01  0.22794125E+01
  0.21262000E+02  0.21646016E+01  0.21646016E+01
  0.21329300E+02  0.20753099E+01  0.20753099E+01
  0.21396600E+02  0.20236492E+01  0.20236492E+01
  0.21463900E+02  0.20111705E+01  0.20111705E+01
  0.21531200E+02  0.20291560E+01  0.20291560E+01
  0.21598500E+02  0.20611893E+01  0.20611893E+01
  0.21665800E+02  0.20906634E+01  0.20906634E+01
  0.21733000E+02  0.21078196E+01  0.21078196E+01
  0.21800300E+02  0.21125757E+01  0.21125757E+01
  0.21867600E+02  0.21075307E+01  0.21075307E+01
  0.21934900E+02  0.20936829E+01  0.20936829E+01
  0.22002200E+02  0.20709442E+01  0.20709442E+01
  0.22069500E+02  0.20359237E+01  0.20359237E+01
  0.22136800E+02  0.19906928E+01  0.19906928E+01
  0.22204000E+02  0.19390038E+01  0.19390038E+01
  0.22271300E+02  0.18885898E+01  0.18885898E+01
  0.22338600E+02  0.18428125E+01  0.18428125E+01
  0.22405900E+02  0.18011689E+01  0.18011689E+01
  0.22473200E+02  0.17569533E+01  0.17569533E+01
  0.22540500E+02  0.17010933E+01  0.17010933E+01
  0.22607700E+02  0.16311701E+01  0.16311701E+01
  0.22675000E+02  0.15527221E+01  0.15527221E+01
  0.22742300E+02  0.14759471E+01  0.14759471E+01
  0.22809600E+02  0.14118097E+01  0.14118097E+01
  0.22876900E+02  0.13645214E+01  0.13645214E+01
  0.22944200E+02  0.13325440E+01  0.13325440E+01
  0.23011500E+02  0.13119725E+01  0.13119725E+01
  0.23078700E+02  0.12999993E+01  0.12999993E+01
  0.23146000E+02  0.12920348E+01  0.12920348E+01
  0.23213300E+02  0.12851748E+01  0.12851748E+01
  0.23280600E+02  0.12741282E+01  0.12741282E+01
  0.23347900E+02  0.12553106E+01  0.12553106E+01
  0.23415200E+02  0.12280538E+01  0.12280538E+01
  0.23482500E+02  0.11964390E+01  0.11964390E+01
  0.23549700E+02  0.11669871E+01  0.11669871E+01
  0.23617000E+02  0.11493200E+01  0.11493200E+01
  0.23684300E+02  0.11483548E+01  0.11483548E+01
  0.23751600E+02  0.11660429E+01  0.11660429E+01
  0.23818900E+02  0.11970893E+01  0.11970893E+01
  0.23886200E+02  0.12349271E+01  0.12349271E+01
  0.23953400E+02  0.12735303E+01  0.12735303E+01
  0.24020700E+02  0.13098756E+01  0.13098756E+01
  0.24088000E+02  0.13439426E+01  0.13439426E+01
  0.24155300E+02  0.13799856E+01  0.13799856E+01
  0.24222600E+02  0.14210712E+01  0.14210712E+01
  0.24289900E+02  0.14641655E+01  0.14641655E+01
  0.24357200E+02  0.14988490E+01  0.14988490E+01
  0.24424400E+02  0.15170681E+01  0.15170681E+01
  0.24491700E+02  0.15187167E+01  0.15187167E+01
  0.24559000E+02  0.15135499E+01  0.15135499E+01
  0.24626300E+02  0.15126737E+01  0.15126737E+01
  0.24693600E+02  0.15210974E+01  0.15210974E+01
  0.24760900E+02  0.15357761E+01  0.15357761E+01
  0.24828200E+02  0.15473837E+01  0.15473837E+01
  0.24895400E+02  0.15508799E+01  0.15508799E+01
  0.24962700E+02  0.15474694E+01  0.15474694E+01
  0.25030000E+02  0.15452785E+01  0.15452785E+01
  0.25097300E+02  0.15531588E+01  0.15531588E+01
  0.25164600E+02  0.15749841E+01  0.15749841E+01
  0.25231900E+02  0.16102127E+01  0.16102127E+01
  0.25299100E+02  0.16531981E+01  0.16531981E+01
  0.25366400E+02  0.16944478E+01  0.16944478E+01
  0.25433700E+02  0.17237423E+01  0.17237423E+01
  0.25501000E+02  0.17333369E+01  0.17333369E+01
  0.25568300E+02  0.17237279E+01  0.17237279E+01
  0.25635600E+02  0.17024700E+01  0.17024700E+01
  0.25702900E+02  0.16823587E+01  0.16823587E+01
  0.25770100E+02  0.16718086E+01  0.16718086E+01
  0.25837400E+02  0.16735082E+01  0.16735082E+01
  0.25904700E+02  0.16868960E+01  0.16868960E+01
  0.25972000E+02  0.17094476E+01  0.17094476E+01
  0.26039300E+02  0.17399160E+01  0.17399160E+01
  0.26106600E+02  0.17763849E+01  0.17763849E+01
  0.26173900E+02  0.18162664E+01  0.18162664E+01
  0.26241100E+02  0.18543210E+01  0.18543210E+01
  0.26308400E+02  0.18885796E+01  0.18885796E+01
  0.26375700E+02  0.19196719E+01  0.19196719E+01
  0.26443000E+02  0.19521984E+01  0.19521984E+01
  0.26510300E+02  0.19868273E+01  0.19868273E+01
  0.26577600E+02  0.20248935E+01  0.20248935E+01
  0.26644800E+02  0.20664063E+01  0.20664063E+01
  0.26712100E+02  0.21120612E+01  0.21120612E+01
  0.26779400E+02  0.21631993E+01  0.21631993E+01
  0.26846700E+02  0.22131792E+01  0.22131792E+01
  0.26914000E+02  0.22473099E+01  0.22473099E+01
  0.26981300E+02  0.22481090E+01  0.22481090E+01
  0.27048600E+02  0.22079447E+01  0.22079447E+01
  0.27115800E+02  0.21365155E+01  0.21365155E+01
  0.27183100E+02  0.20537808E+01  0.20537808E+01
  0.27250400E+02  0.19806667E+01  0.19806667E+01
  0.27317700E+02  0.19309336E+01  0.19309336E+01
  0.27385000E+02  0.19096174E+01  0.19096174E+01
  0.27452300E+02  0.19155951E+01  0.19155951E+01
  0.27519600E+02  0.19428762E+01  0.19428762E+01
  0.27586800E+02  0.19853820E+01  0.19853820E+01
  0.27654100E+02  0.20349302E+01  0.20349302E+01
  0.27721400E+02  0.20832640E+01  0.20832640E+01
  0.27788700E+02  0.21220852E+01  0.21220852E+01
  0.27856000E+02  0.21444234E+01  0.21444234E+01
  0.27923300E+02  0.21453237E+01  0.21453237E+01
  0.27990500E+02  0.21253217E+01  0.21253217E+01
  0.28057800E+02  0.20933336E+01  0.20933336E+01
  0.28125100E+02  0.20625500E+01  0.20625500E+01
  0.28192400E+02  0.20540493E+01  0.20540493E+01
  0.28259700E+02  0.20834781E+01  0.20834781E+01
  0.28327000E+02  0.21601874E+01  0.21601874E+01
  0.28394300E+02  0.22730239E+01  0.22730239E+01
  0.28461500E+02  0.23980574E+01  0.23980574E+01
  0.28528800E+02  0.25106671E+01  0.25106671E+01
  0.28596100E+02  0.25953534E+01  0.25953534E+01
  0.28663400E+02  0.26506557E+01  0.26506557E+01
  0.28730700E+02  0.26792924E+01  0.26792924E+01
  0.28798000E+02  0.26747516E+01  0.26747516E+01
  0.28865300E+02  0.26261392E+01  0.26261392E+01
  0.28932500E+02  0.25223083E+01  0.25223083E+01
  0.28999800E+02  0.23675630E+01  0.23675630E+01
  0.29067100E+02  0.21863266E+01  0.21863266E+01
  0.29134400E+02  0.20086334E+01  0.20086334E+01
  0.29201700E+02  0.18615762E+01  0.18615762E+01
  0.29269000E+02  0.17573894E+01  0.17573894E+01
  0.29336200E+02  0.16922308E+01  0.16922308E+01
  0.29403500E+02  0.16539933E+01  0.16539933E+01
  0.29470800E+02  0.16303388E+01  0.16303388E+01
  0.29538100E+02  0.16102573E+01  0.16102573E+01
  0.29605400E+02  0.15893139E+01  0.15893139E+01
  0.29672700E+02  0.15652639E+01  0.15652639E+01
  0.29740000E+02  0.15410768E+01  0.15410768E+01
  0.29807200E+02  0.15182486E+01  0.15182486E+01
  0.29874500E+02  0.14998116E+01  0.14998116E+01
  0.29941800E+02  0.14895679E+01  0.14895679E+01
  0.30009100E+02  0.14898469E+01  0.14898469E+01
  0.30076400E+02  0.15007193E+01  0.15007193E+01
  0.30143700E+02  0.15245259E+01  0.15245259E+01
  0.30211000E+02  0.15613339E+01  0.15613339E+01
  0.30278200E+02  0.16111946E+01  0.16111946E+01
  0.30345500E+02  0.16734024E+01  0.16734024E+01
  0.30412800E+02  0.17434120E+01  0.17434120E+01
  0.30480100E+02  0.18159005E+01  0.18159005E+01
  0.30547400E+02  0.18840014E+01  0.18840014E+01
  0.30614700E+02  0.19454106E+01  0.19454106E+01
  0.30681900E+02  0.19985718E+01  0.19985718E+01
  0.30749200E+02  0.20465325E+01  0.20465325E+01
  0.30816500E+02  0.20846642E+01  0.20846642E+01
  0.30883800E+02  0.20998640E+01  0.20998640E+01
  0.30951100E+02  0.20765987E+01  0.20765987E+01
  0.31018400E+02  0.20052876E+01  0.20052876E+01
  0.31085700E+02  0.18908474E+01  0.18908474E+01
  0.31152900E+02  0.17537717E+01  0.17537717E+01
  0.31220200E+02  0.16204156E+01  0.16204156E+01
  0.31287500E+02  0.15105344E+01  0.15105344E+01
  0.31354800E+02  0.14323525E+01  0.14323525E+01
  0.31422100E+02  0.13846439E+01  0.13846439E+01
  0.31489400E+02  0.13589474E+01  0.13589474E+01
  0.31556700E+02  0.13474680E+01  0.13474680E+01
  0.31623900E+02  0.13447104E+01  0.13447104E+01
  0.31691200E+02  0.13491394E+01  0.13491394E+01
  0.31758500E+02  0.13583882E+01  0.13583882E+01
  0.31825800E+02  0.13724849E+01  0.13724849E+01
  0.31893100E+02  0.13914559E+01  0.13914559E+01
  0.31960400E+02  0.14153262E+01  0.14153262E+01
  0.32027600E+02  0.14465376E+01  0.14465376E+01
  0.32094900E+02  0.14875565E+01  0.14875565E+01
  0.32162200E+02  0.15376050E+01  0.15376050E+01
  0.32229500E+02  0.15967108E+01  0.15967108E+01
  0.32296800E+02  0.16592204E+01  0.16592204E+01
  0.32364100E+02  0.17218945E+01  0.17218945E+01
  0.32431400E+02  0.17757977E+01  0.17757977E+01
  0.32498600E+02  0.18143919E+01  0.18143919E+01
  0.32565900E+02  0.18327413E+01  0.18327413E+01
  0.32633200E+02  0.18307383E+01  0.18307383E+01
  0.32700500E+02  0.18139837E+01  0.18139837E+01
  0.32767800E+02  0.17881154E+01  0.17881154E+01
  0.32835100E+02  0.17530632E+01  0.17530632E+01
  0.32902300E+02  0.17087466E+01  0.17087466E+01
  0.32969600E+02  0.16584067E+01  0.16584067E+01
  0.33036900E+02  0.16102876E+01  0.16102876E+01
  0.33104200E+02  0.15727374E+01  0.15727374E+01
  0.33171500E+02  0.15500193E+01  0.15500193E+01
  0.33238800E+02  0.15447545E+01  0.15447545E+01
  0.33306100E+02  0.15520269E+01  0.15520269E+01
  0.33373300E+02  0.15685442E+01  0.15685442E+01
  0.33440600E+02  0.15851136E+01  0.15851136E+01
