      #Energy        TDOS-UP        TDOS-DOWN
     -17.60479       0.00000       0.00000
     -17.58779       0.00000       0.00000
     -17.57079       0.00000       0.00000
     -17.55379       0.00000       0.00000
     -17.53779       0.00000       0.00000
     -17.52079       0.00000       0.00000
     -17.50379       0.00000       0.00000
     -17.48679       0.00000       0.00000
     -17.47079       0.00000       0.00000
     -17.45379       0.00000       0.00000
     -17.43679       0.00000       0.00000
     -17.41979       0.00000       0.00000
     -17.40279       0.00000       0.00000
     -17.38679       0.00000       0.00000
     -17.36979       0.00000       0.00000
     -17.35279       0.00000       0.00000
     -17.33579       0.00000       0.00000
     -17.31979       0.00000       0.00000
     -17.30279       0.00000       0.00000
     -17.28579       0.00000       0.00000
     -17.26879       0.00000       0.00000
     -17.25279       0.00000       0.00000
     -17.23579       0.00000       0.00000
     -17.21879       0.00000       0.00000
     -17.20179       0.00000       0.00000
     -17.18579       0.00000       0.00000
     -17.16879       0.00000       0.00000
     -17.15179       0.00000       0.00000
     -17.13479       0.00000       0.00000
     -17.11779       0.00000       0.00000
     -17.10179       0.00000       0.00000
     -17.08479       0.00000       0.00000
     -17.06779       0.00000       0.00000
     -17.05079       0.00000       0.00000
     -17.03479       0.00000       0.00000
     -17.01779       0.00000       0.00000
     -17.00079       0.00000       0.00000
     -16.98379       0.00000       0.00000
     -16.96779       0.00000       0.00000
     -16.95079       0.00000       0.00000
     -16.93379       0.00000       0.00000
     -16.91679       0.00000       0.00000
     -16.90079       0.00000       0.00000
     -16.88379       0.00000       0.00000
     -16.86679       0.00000       0.00000
     -16.84979       0.00000       0.00000
     -16.83379       0.00000       0.00000
     -16.81679       0.00000       0.00000
     -16.79979       0.00000       0.00000
     -16.78279       0.00000       0.00000
     -16.76579       0.00000       0.00000
     -16.74979       0.00000       0.00000
     -16.73279       0.00000       0.00000
     -16.71579       0.00000       0.00000
     -16.69879       0.00000       0.00000
     -16.68279       0.00000       0.00000
     -16.66579       0.00000       0.00000
     -16.64879       0.00000       0.00000
     -16.63179       0.00000       0.00000
     -16.61579       0.00000       0.00000
     -16.59879       0.00000       0.00000
     -16.58179       0.00000       0.00000
     -16.56479       0.00000       0.00000
     -16.54879       0.00000       0.00000
     -16.53179       0.00000       0.00000
     -16.51479       0.00000       0.00000
     -16.49779       0.00000       0.00000
     -16.48079       0.00000       0.00000
     -16.46479       0.00000       0.00000
     -16.44779       0.00000       0.00000
     -16.43079       0.00000       0.00000
     -16.41379       0.00000       0.00000
     -16.39779       0.00000       0.00000
     -16.38079       0.00000       0.00000
     -16.36379       0.00000       0.00000
     -16.34679       0.00000       0.00000
     -16.33079       0.00000       0.00000
     -16.31379       0.00000       0.00000
     -16.29679       0.00000       0.00000
     -16.27979       0.00000       0.00000
     -16.26379       0.00000       0.00000
     -16.24679       0.00000       0.00000
     -16.22979       0.00000       0.00000
     -16.21279       0.00000       0.00000
     -16.19579       0.00000       0.00000
     -16.17979       0.00000       0.00000
     -16.16279       0.00000       0.00000
     -16.14579       0.00000       0.00000
     -16.12879       0.00000       0.00000
     -16.11279       0.00000       0.00000
     -16.09579       0.00000       0.00000
     -16.07879       0.00000       0.00000
     -16.06179       0.00000       0.00000
     -16.04579       0.00000       0.00000
     -16.02879       0.00000       0.00000
     -16.01179       0.00000       0.00000
     -15.99479       0.00000       0.00000
     -15.97879       0.00000       0.00000
     -15.96179       0.00000       0.00000
     -15.94479       0.00000       0.00000
     -15.92779       0.00000       0.00000
     -15.91079       0.00000       0.00000
     -15.89479       0.00000       0.00000
     -15.87779       0.00000       0.00000
     -15.86079       0.00000       0.00000
     -15.84379       0.00000       0.00000
     -15.82779       0.00000       0.00000
     -15.81079       0.00000       0.00000
     -15.79379       0.00000       0.00000
     -15.77679       0.00000       0.00000
     -15.76079       0.00000       0.00000
     -15.74379       0.00000       0.00000
     -15.72679       0.00000       0.00000
     -15.70979       0.00000       0.00000
     -15.69379       0.00000       0.00000
     -15.67679       0.00000       0.00000
     -15.65979       0.00000       0.00000
     -15.64279       0.00000       0.00000
     -15.62579       0.00000       0.00000
     -15.60979       0.00000       0.00000
     -15.59279       0.00000       0.00000
     -15.57579       0.00000       0.00000
     -15.55879       0.00000       0.00000
     -15.54279       0.00000       0.00000
     -15.52579       0.00000       0.00000
     -15.50879       0.00000       0.00000
     -15.49179       0.00000       0.00000
     -15.47579       0.00000       0.00000
     -15.45879       0.00000       0.00000
     -15.44179       0.00000       0.00000
     -15.42479       0.00000       0.00000
     -15.40879       0.00000       0.00000
     -15.39179       0.00000       0.00000
     -15.37479       0.00000       0.00000
     -15.35779       0.00000       0.00000
     -15.34079       0.00000       0.00000
     -15.32479       0.00000       0.00000
     -15.30779       0.00000       0.00000
     -15.29079       0.00000       0.00000
     -15.27379       0.00000       0.00000
     -15.25779       0.00000       0.00000
     -15.24079       0.00000       0.00000
     -15.22379       0.00000       0.00000
     -15.20679       0.00000       0.00000
     -15.19079       0.00000       0.00000
     -15.17379       0.00000       0.00000
     -15.15679       0.00000       0.00000
     -15.13979       0.00000       0.00000
     -15.12379       0.00000       0.00000
     -15.10679       0.00000       0.00000
     -15.08979       0.00000       0.00000
     -15.07279       0.00000       0.00000
     -15.05579       0.00000       0.00000
     -15.03979       0.00000       0.00000
     -15.02279       0.00000       0.00000
     -15.00579       0.00000       0.00000
     -14.98879       0.00000       0.00000
     -14.97279       0.00000       0.00000
     -14.95579       0.00000       0.00000
     -14.93879       0.00000       0.00000
     -14.92179       0.00000       0.00000
     -14.90579       0.00000       0.00000
     -14.88879       0.00000       0.00000
     -14.87179       0.00000       0.00000
     -14.85479       0.00000       0.00000
     -14.83879       0.00000       0.00000
     -14.82179       0.00000       0.00000
     -14.80479       0.00000       0.00000
     -14.78779       0.00000       0.00000
     -14.77079       0.00000       0.00000
     -14.75479       0.00000       0.00000
     -14.73779       0.00000       0.00000
     -14.72079       0.00000       0.00000
     -14.70379       0.00000       0.00000
     -14.68779       0.00000       0.00000
     -14.67079       0.00000       0.00000
     -14.65379       0.00000       0.00000
     -14.63679       0.00000       0.00000
     -14.62079       0.00000       0.00000
     -14.60379       0.00000       0.00000
     -14.58679       0.00000       0.00000
     -14.56979       0.00000       0.00000
     -14.55379       0.00000       0.00000
     -14.53679       0.00000       0.00000
     -14.51979       0.00000       0.00000
     -14.50279       0.00000       0.00000
     -14.48579       0.00000       0.00000
     -14.46979       0.00000       0.00000
     -14.45279       1.15300      -1.15300
     -14.43579       2.87200      -2.87200
     -14.41879       4.97900      -4.97900
     -14.40279      10.22000     -10.22000
     -14.38579      15.72000     -15.72000
     -14.36879      23.85000     -23.85000
     -14.35179      18.27000     -18.27000
     -14.33579      30.26000     -30.26000
     -14.31879      27.58000     -27.58000
     -14.30179      28.99000     -28.99000
     -14.28479      14.61000     -14.61000
     -14.26879      18.32000     -18.32000
     -14.25179      12.23000     -12.23000
     -14.23479       9.21600      -9.21600
     -14.21779      13.83000     -13.83000
     -14.20179      16.79000     -16.79000
     -14.18479      25.72000     -25.72000
     -14.16779      24.28000     -24.28000
     -14.15079       9.62300      -9.62300
     -14.13379       5.65000      -5.65000
     -14.11779       4.21600      -4.21600
     -14.10079       3.78100      -3.78100
     -14.08379       3.48400      -3.48400
     -14.06679       3.05000      -3.05000
     -14.05079       1.66500      -1.66500
     -14.03379       0.76720      -0.76720
     -14.01679       0.26090      -0.26090
     -13.99979       0.00000       0.00000
     -13.98379       0.00000       0.00000
     -13.96679       0.00000       0.00000
     -13.94979       0.00000       0.00000
     -13.93279       0.00000       0.00000
     -13.91679       0.00000       0.00000
     -13.89979       0.00000       0.00000
     -13.88279       0.00000       0.00000
     -13.86579       0.00000       0.00000
     -13.84879       0.00000       0.00000
     -13.83279       0.00000       0.00000
     -13.81579       0.00000       0.00000
     -13.79879       0.00000       0.00000
     -13.78179       0.00000       0.00000
     -13.76579       0.00000       0.00000
     -13.74879       0.00000       0.00000
     -13.73179       0.00000       0.00000
     -13.71479       0.00000       0.00000
     -13.69879       0.00000       0.00000
     -13.68179       0.00000       0.00000
     -13.66479       0.00000       0.00000
     -13.64779       0.00000       0.00000
     -13.63179       0.00000       0.00000
     -13.61479       0.00000       0.00000
     -13.59779       0.00000       0.00000
     -13.58079       0.00000       0.00000
     -13.56379       0.00000       0.00000
     -13.54779       0.00000       0.00000
     -13.53079       0.00000       0.00000
     -13.51379       0.00000       0.00000
     -13.49679       0.00000       0.00000
     -13.48079       0.00000       0.00000
     -13.46379       0.00000       0.00000
     -13.44679       0.00000       0.00000
     -13.42979       0.00000       0.00000
     -13.41379       0.00000       0.00000
     -13.39679       0.00000       0.00000
     -13.37979       0.00000       0.00000
     -13.36279       0.00000       0.00000
     -13.34679       0.00000       0.00000
     -13.32979       0.00000       0.00000
     -13.31279       0.00000       0.00000
     -13.29579       0.00000       0.00000
     -13.27879       0.00000       0.00000
     -13.26279       0.00000       0.00000
