 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.34371311E+03  0.34029763E+06  0.34029763E+06  0.34029763E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33865284E+03  0.34844517E+06  0.34844517E+06  0.34844517E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33374840E+03  0.36237906E+06  0.36237906E+06  0.36237906E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32898398E+03  0.36153825E+06  0.36153825E+06  0.36153825E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32434519E+03  0.35130247E+06  0.35130247E+06  0.35130247E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31984365E+03  0.35294830E+06  0.35294830E+06  0.35294830E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31546535E+03  0.36724813E+06  0.36724813E+06  0.36724813E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31119749E+03  0.37911931E+06  0.37911931E+06  0.37911931E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30705117E+03  0.39187774E+06  0.39187774E+06  0.39187774E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30300648E+03  0.41128912E+06  0.41128912E+06  0.41128912E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29907418E+03  0.42722185E+06  0.42722185E+06  0.42722185E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29524263E+03  0.43197034E+06  0.43197034E+06  0.43197034E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29150117E+03  0.44105930E+06  0.44105930E+06  0.44105930E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28786003E+03  0.46991041E+06  0.46991041E+06  0.46991041E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28430221E+03  0.49998951E+06  0.49998951E+06  0.49998951E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28083762E+03  0.50580176E+06  0.50580176E+06  0.50580176E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27745646E+03  0.49048721E+06  0.49048721E+06  0.49048721E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27414968E+03  0.46770076E+06  0.46770076E+06  0.46770076E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27092671E+03  0.44902879E+06  0.44902879E+06  0.44902879E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26777286E+03  0.44594227E+06  0.44594227E+06  0.44594227E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26469725E+03  0.45634150E+06  0.45634150E+06  0.45634150E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26169149E+03  0.48153282E+06  0.48153282E+06  0.48153282E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25874782E+03  0.51822620E+06  0.51822620E+06  0.51822620E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25587492E+03  0.55910760E+06  0.55910760E+06  0.55910760E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25306512E+03  0.61077088E+06  0.61077088E+06  0.61077088E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25031130E+03  0.67000394E+06  0.67000394E+06  0.67000394E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24762171E+03  0.73643633E+06  0.73643633E+06  0.73643633E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24498447E+03  0.81239595E+06  0.81239595E+06  0.81239595E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24240755E+03  0.88394264E+06  0.88394264E+06  0.88394264E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23988428E+03  0.90761469E+06  0.90761469E+06  0.90761469E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23740846E+03  0.86401404E+06  0.86401404E+06  0.86401404E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23498767E+03  0.78749354E+06  0.78749354E+06  0.78749354E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23261138E+03  0.72781357E+06  0.72781357E+06  0.72781357E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23028695E+03  0.70326909E+06  0.70326909E+06  0.70326909E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22800852E+03  0.70086025E+06  0.70086025E+06  0.70086025E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22577062E+03  0.71647009E+06  0.71647009E+06  0.71647009E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22358025E+03  0.73383744E+06  0.73383744E+06  0.73383744E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22142802E+03  0.71675758E+06  0.71675758E+06  0.71675758E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21932071E+03  0.66512605E+06  0.66512605E+06  0.66512605E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21725314E+03  0.60727822E+06  0.60727822E+06  0.60727822E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21522044E+03  0.55907635E+06  0.55907635E+06  0.55907635E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21322910E+03  0.53177123E+06  0.53177123E+06  0.53177123E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21127427E+03  0.52985754E+06  0.52985754E+06  0.52985754E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20935142E+03  0.55714981E+06  0.55714981E+06  0.55714981E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20746673E+03  0.61048497E+06  0.61048497E+06  0.61048497E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20561226E+03  0.66903408E+06  0.66903408E+06  0.66903408E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20379400E+03  0.71451017E+06  0.71451017E+06  0.71451017E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20200761E+03  0.73500540E+06  0.73500540E+06  0.73500540E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20024904E+03  0.73566344E+06  0.73566344E+06  0.73566344E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19852400E+03  0.74509995E+06  0.74509995E+06  0.74509995E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19682530E+03  0.79119544E+06  0.79119544E+06  0.79119544E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19515850E+03  0.85523954E+06  0.85523954E+06  0.85523954E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19351969E+03  0.87851074E+06  0.87851074E+06  0.87851074E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19190520E+03  0.84989508E+06  0.84989508E+06  0.84989508E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19032035E+03  0.82089100E+06  0.82089100E+06  0.82089100E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18875859E+03  0.81184913E+06  0.81184913E+06  0.81184913E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18722508E+03  0.79905043E+06  0.79905043E+06  0.79905043E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18571629E+03  0.77502396E+06  0.77502396E+06  0.77502396E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18422888E+03  0.75993195E+06  0.75993195E+06  0.75993195E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18276780E+03  0.77129694E+06  0.77129694E+06  0.77129694E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18132971E+03  0.80497495E+06  0.80497495E+06  0.80497495E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17991147E+03  0.84302819E+06  0.84302819E+06  0.84302819E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17851781E+03  0.86942532E+06  0.86942532E+06  0.86942532E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17714305E+03  0.87980390E+06  0.87980390E+06  0.87980390E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17579179E+03  0.86752584E+06  0.86752584E+06  0.86752584E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17446099E+03  0.83631441E+06  0.83631441E+06  0.83631441E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17314777E+03  0.80512711E+06  0.80512711E+06  0.80512711E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17185655E+03  0.80574745E+06  0.80574745E+06  0.80574745E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17058211E+03  0.87076660E+06  0.87076660E+06  0.87076660E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16932873E+03  0.98151970E+06  0.98151970E+06  0.98151970E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16809365E+03  0.10846324E+07  0.10846324E+07  0.10846324E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16687420E+03  0.11661383E+07  0.11661383E+07  0.11661383E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16567453E+03  0.12341725E+07  0.12341725E+07  0.12341725E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16448981E+03  0.12756603E+07  0.12756603E+07  0.12756603E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16332406E+03  0.12785726E+07  0.12785726E+07  0.12785726E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16217472E+03  0.12576521E+07  0.12576521E+07  0.12576521E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16103935E+03  0.12319907E+07  0.12319907E+07  0.12319907E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15992182E+03  0.11971338E+07  0.11971338E+07  0.11971338E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15881767E+03  0.11437777E+07  0.11437777E+07  0.11437777E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15773067E+03  0.10833188E+07  0.10833188E+07  0.10833188E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15665844E+03  0.10426455E+07  0.10426455E+07  0.10426455E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15559874E+03  0.10445257E+07  0.10445257E+07  0.10445257E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15455521E+03  0.10860763E+07  0.10860763E+07  0.10860763E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15352558E+03  0.11271921E+07  0.11271921E+07  0.11271921E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15250771E+03  0.11382571E+07  0.11382571E+07  0.11382571E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15150509E+03  0.11169534E+07  0.11169534E+07  0.11169534E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15051374E+03  0.10641086E+07  0.10641086E+07  0.10641086E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14953709E+03  0.99428621E+06  0.99428621E+06  0.99428621E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14857303E+03  0.93576971E+06  0.93576971E+06  0.93576971E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14761956E+03  0.89240706E+06  0.89240706E+06  0.89240706E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14667999E+03  0.86099209E+06  0.86099209E+06  0.86099209E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14575058E+03  0.84511841E+06  0.84511841E+06  0.84511841E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14483458E+03  0.82946954E+06  0.82946954E+06  0.82946954E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14393001E+03  0.79054472E+06  0.79054472E+06  0.79054472E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14303503E+03  0.74067729E+06  0.74067729E+06  0.74067729E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14215273E+03  0.71483719E+06  0.71483719E+06  0.71483719E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14127965E+03  0.71683820E+06  0.71683820E+06  0.71683820E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14041881E+03  0.71408771E+06  0.71408771E+06  0.71408771E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13956840E+03  0.69283533E+06  0.69283533E+06  0.69283533E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13872668E+03  0.66552376E+06  0.66552376E+06  0.66552376E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13789658E+03  0.64158348E+06  0.64158348E+06  0.64158348E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13707635E+03  0.62134789E+06  0.62134789E+06  0.62134789E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13626433E+03  0.61028482E+06  0.61028482E+06  0.61028482E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13546336E+03  0.62279684E+06  0.62279684E+06  0.62279684E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13467028E+03  0.66783396E+06  0.66783396E+06  0.66783396E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13388788E+03  0.74278427E+06  0.74278427E+06  0.74278427E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13311452E+03  0.81300009E+06  0.81300009E+06  0.81300009E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13234862E+03  0.83951220E+06  0.83951220E+06  0.83951220E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13159289E+03  0.83387229E+06  0.83387229E+06  0.83387229E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13084436E+03  0.82155864E+06  0.82155864E+06  0.82155864E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13010566E+03  0.80102070E+06  0.80102070E+06  0.80102070E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12937526E+03  0.76920009E+06  0.76920009E+06  0.76920009E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12865167E+03  0.73971470E+06  0.73971470E+06  0.73971470E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12793746E+03  0.73149408E+06  0.73149408E+06  0.73149408E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12722982E+03  0.74191704E+06  0.74191704E+06  0.74191704E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12653127E+03  0.75268978E+06  0.75268978E+06  0.75268978E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12584034E+03  0.75630907E+06  0.75630907E+06  0.75630907E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12515565E+03  0.75935080E+06  0.75935080E+06  0.75935080E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12447962E+03  0.76953388E+06  0.76953388E+06  0.76953388E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12381086E+03  0.78716098E+06  0.78716098E+06  0.78716098E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12314802E+03  0.80287705E+06  0.80287705E+06  0.80287705E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12249345E+03  0.81173914E+06  0.81173914E+06  0.81173914E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12184460E+03  0.81251078E+06  0.81251078E+06  0.81251078E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12120378E+03  0.79303235E+06  0.79303235E+06  0.79303235E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12056966E+03  0.75102891E+06  0.75102891E+06  0.75102891E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11994098E+03  0.71399122E+06  0.71399122E+06  0.71399122E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11931997E+03  0.69053773E+06  0.69053773E+06  0.69053773E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11870423E+03  0.67065393E+06  0.67065393E+06  0.67065393E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11809593E+03  0.65072925E+06  0.65072925E+06  0.65072925E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11749383E+03  0.63348455E+06  0.63348455E+06  0.63348455E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11689674E+03  0.62551418E+06  0.62551418E+06  0.62551418E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11630678E+03  0.63489822E+06  0.63489822E+06  0.63489822E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11572167E+03  0.65738626E+06  0.65738626E+06  0.65738626E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11514348E+03  0.67446502E+06  0.67446502E+06  0.67446502E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11457104E+03  0.68635197E+06  0.68635197E+06  0.68635197E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11400321E+03  0.69160062E+06  0.69160062E+06  0.69160062E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11344202E+03  0.67560933E+06  0.67560933E+06  0.67560933E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11288531E+03  0.64525256E+06  0.64525256E+06  0.64525256E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11233505E+03  0.62458846E+06  0.62458846E+06  0.62458846E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11179013E+03  0.63124974E+06  0.63124974E+06  0.63124974E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11124947E+03  0.65560976E+06  0.65560976E+06  0.65560976E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11071500E+03  0.67739840E+06  0.67739840E+06  0.67739840E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11018564E+03  0.69228942E+06  0.69228942E+06  0.69228942E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10966036E+03  0.71768113E+06  0.71768113E+06  0.71768113E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10914101E+03  0.78046154E+06  0.78046154E+06  0.78046154E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
