     #Energy   up_In_all   dw_In_all   up_Co_all   dw_Co_all    up_O_all    dw_O_all
   -18.68149     0.01889    -0.01089     0.03737    -0.01984     0.38443    -0.18340
   -18.66249     0.02388    -0.01019     0.05073    -0.01812     0.52613    -0.16946
   -18.64249     0.02816    -0.00951     0.06340    -0.01647     0.65932    -0.15596
   -18.62349     0.03371    -0.00885     0.08048    -0.01490     0.83857    -0.14298
   -18.60349     0.03979    -0.00856     0.09993    -0.01375     1.04237    -0.13485
   -18.58449     0.04438    -0.02568     0.11897    -0.05087     1.23712    -0.52861
   -18.56449     0.05004    -0.02659     0.14436    -0.05594     1.49849    -0.58279
   -18.54549     0.05884    -0.03241     0.17886    -0.07209     1.85485    -0.75336
   -18.52549     0.07616    -0.03775     0.23778    -0.08821     2.47415    -0.92401
   -18.50649     0.30775    -0.04228     0.67685    -0.10548     7.24853    -1.10319
   -18.48649     0.21194    -0.04739     0.61350    -0.12679     6.47581    -1.32464
   -18.46749     0.16495    -0.05384     0.48397    -0.15418     4.97222    -1.60977
   -18.44749     0.13296    -0.06488     0.39959    -0.19139     3.97995    -1.99824
   -18.42849     0.12130    -0.22424     0.36497    -0.47508     3.55872    -5.09496
   -18.40949     0.14088    -0.25546     0.45346    -0.60087     4.31585    -6.42043
   -18.38949     0.10673    -0.18150     0.34245    -0.52030     3.18538    -5.47796
   -18.37049     0.09893    -0.15557     0.32508    -0.46071     2.96874    -4.72610
   -18.35049     0.10910    -0.12084     0.37173    -0.33613     3.31689    -3.35766
   -18.33149     0.09961    -0.11793     0.35194    -0.33554     3.09123    -3.30329
   -18.31149     0.08985    -0.13177     0.33440    -0.39487     2.88061    -3.80190
   -18.29249     0.09846    -0.10321     0.37697    -0.30684     3.17147    -2.90205
   -18.27249     0.08414    -0.09747     0.34421    -0.29694     2.87066    -2.76933
   -18.25349     0.08942    -0.11074     0.39044    -0.34971     3.18883    -3.19690
   -18.23349     0.10169    -0.09837     0.46719    -0.31816     3.72260    -2.86662
   -18.21449     0.09316    -0.09312     0.45750    -0.31594     3.59302    -2.80298
   -18.19449     0.05420    -0.10375     0.31486    -0.35684     2.47272    -3.09963
   -18.17549     0.03738    -0.08849     0.25821    -0.32188     2.01030    -2.77048
   -18.15549     0.02458    -0.08453     0.21196    -0.32821     1.63649    -2.79520
   -18.13649     0.01528    -0.08487     0.16530    -0.35086     1.26636    -2.93499
   -18.11749     0.00811    -0.12761     0.12863    -0.51923     0.97639    -4.22651
   -18.09749     0.00249    -0.07300     0.07199    -0.34355     0.54156    -2.79790
   -18.07849     0.00008    -0.04918     0.00603    -0.26902     0.04509    -2.18152
   -18.05849     0.00000    -0.03468     0.00000    -0.22571     0.00000    -1.81699
   -18.03949     0.00000    -0.02272     0.00000    -0.18211     0.00000    -1.45642
   -18.01949     0.00000    -0.01446     0.00000    -0.14523     0.00000    -1.15413
