   #Energy      xx(%)           yy(%)
  0.17830500E+02  0.12330884E-01  0.12330884E-01
  0.17897800E+02  0.12108861E-01  0.12108861E-01
  0.17965100E+02  0.11789056E-01  0.11789056E-01
  0.18032400E+02  0.11388027E-01  0.11388027E-01
  0.18099700E+02  0.10928465E-01  0.10928465E-01
  0.18166900E+02  0.10426910E-01  0.10426910E-01
  0.18234200E+02  0.99141056E-02  0.99141056E-02
  0.18301500E+02  0.94179814E-02  0.94179814E-02
  0.18368800E+02  0.89909272E-02  0.89909272E-02
  0.18436100E+02  0.86407975E-02  0.86407975E-02
  0.18503400E+02  0.83217611E-02  0.83217611E-02
  0.18570700E+02  0.79768354E-02  0.79768354E-02
  0.18637900E+02  0.75486974E-02  0.75486974E-02
  0.18705200E+02  0.70325879E-02  0.70325879E-02
  0.18772500E+02  0.64917626E-02  0.64917626E-02
  0.18839800E+02  0.60111685E-02  0.60111685E-02
  0.18907100E+02  0.56772558E-02  0.56772558E-02
  0.18974400E+02  0.55768298E-02  0.55768298E-02
  0.19041600E+02  0.57464381E-02  0.57464381E-02
  0.19108900E+02  0.61781813E-02  0.61781813E-02
  0.19176200E+02  0.68028140E-02  0.68028140E-02
  0.19243500E+02  0.74903165E-02  0.74903165E-02
  0.19310800E+02  0.80797616E-02  0.80797616E-02
  0.19378100E+02  0.84529419E-02  0.84529419E-02
  0.19445400E+02  0.85868914E-02  0.85868914E-02
  0.19512600E+02  0.85549776E-02  0.85549776E-02
  0.19579900E+02  0.84895796E-02  0.84895796E-02
  0.19647200E+02  0.84985776E-02  0.84985776E-02
  0.19714500E+02  0.85796200E-02  0.85796200E-02
  0.19781800E+02  0.86734406E-02  0.86734406E-02
  0.19849100E+02  0.87080129E-02  0.87080129E-02
  0.19916400E+02  0.86946485E-02  0.86946485E-02
  0.19983600E+02  0.87226753E-02  0.87226753E-02
  0.20050900E+02  0.89288033E-02  0.89288033E-02
  0.20118200E+02  0.94263680E-02  0.94263680E-02
  0.20185500E+02  0.10238018E-01  0.10238018E-01
  0.20252800E+02  0.11266059E-01  0.11266059E-01
  0.20320100E+02  0.12327615E-01  0.12327615E-01
  0.20387300E+02  0.13230095E-01  0.13230095E-01
  0.20454600E+02  0.13869595E-01  0.13869595E-01
  0.20521900E+02  0.14294741E-01  0.14294741E-01
  0.20589200E+02  0.14718698E-01  0.14718698E-01
  0.20656500E+02  0.15358590E-01  0.15358590E-01
  0.20723800E+02  0.16339112E-01  0.16339112E-01
  0.20791100E+02  0.17580166E-01  0.17580166E-01
  0.20858300E+02  0.18806361E-01  0.18806361E-01
  0.20925600E+02  0.19689828E-01  0.19689828E-01
  0.20992900E+02  0.20008272E-01  0.20008272E-01
  0.21060200E+02  0.19707058E-01  0.19707058E-01
  0.21127500E+02  0.18875930E-01  0.18875930E-01
  0.21194800E+02  0.17685116E-01  0.17685116E-01
  0.21262000E+02  0.16351387E-01  0.16351387E-01
  0.21329300E+02  0.15112135E-01  0.15112135E-01
  0.21396600E+02  0.14190270E-01  0.14190270E-01
  0.21463900E+02  0.13705327E-01  0.13705327E-01
  0.21531200E+02  0.13666104E-01  0.13666104E-01
  0.21598500E+02  0.13941997E-01  0.13941997E-01
  0.21665800E+02  0.14348042E-01  0.14348042E-01
  0.21733000E+02  0.14722956E-01  0.14722956E-01
  0.21800300E+02  0.15014373E-01  0.15014373E-01
  0.21867600E+02  0.15222979E-01  0.15222979E-01
  0.21934900E+02  0.15358487E-01  0.15358487E-01
  0.22002200E+02  0.15423404E-01  0.15423404E-01
  0.22069500E+02  0.15363497E-01  0.15363497E-01
  0.22136800E+02  0.15161199E-01  0.15161199E-01
  0.22204000E+02  0.14831332E-01  0.14831332E-01
  0.22271300E+02  0.14448544E-01  0.14448544E-01
  0.22338600E+02  0.14086413E-01  0.14086413E-01
  0.22405900E+02  0.13782765E-01  0.13782765E-01
  0.22473200E+02  0.13509632E-01  0.13509632E-01
  0.22540500E+02  0.13156505E-01  0.13156505E-01
  0.22607700E+02  0.12642338E-01  0.12642338E-01
  0.22675000E+02  0.11943902E-01  0.11943902E-01
  0.22742300E+02  0.11126467E-01  0.11126467E-01
  0.22809600E+02  0.10312489E-01  0.10312489E-01
  0.22876900E+02  0.95822175E-02  0.95822175E-02
  0.22944200E+02  0.89792666E-02  0.89792666E-02
  0.23011500E+02  0.85009582E-02  0.85009582E-02
  0.23078700E+02  0.81331325E-02  0.81331325E-02
  0.23146000E+02  0.78474862E-02  0.78474862E-02
  0.23213300E+02  0.76206935E-02  0.76206935E-02
  0.23280600E+02  0.74118634E-02  0.74118634E-02
  0.23347900E+02  0.71661056E-02  0.71661056E-02
  0.23415200E+02  0.68477028E-02  0.68477028E-02
  0.23482500E+02  0.64476213E-02  0.64476213E-02
  0.23549700E+02  0.59971351E-02  0.59971351E-02
  0.23617000E+02  0.55708639E-02  0.55708639E-02
  0.23684300E+02  0.52412768E-02  0.52412768E-02
  0.23751600E+02  0.50572115E-02  0.50572115E-02
  0.23818900E+02  0.50164138E-02  0.50164138E-02
  0.23886200E+02  0.50884353E-02  0.50884353E-02
  0.23953400E+02  0.52209445E-02  0.52209445E-02
  0.24020700E+02  0.53768150E-02  0.53768150E-02
  0.24088000E+02  0.55382760E-02  0.55382760E-02
  0.24155300E+02  0.57273035E-02  0.57273035E-02
  0.24222600E+02  0.59831680E-02  0.59831680E-02
  0.24289900E+02  0.62998010E-02  0.62998010E-02
  0.24357200E+02  0.66062462E-02  0.66062462E-02
  0.24424400E+02  0.68114031E-02  0.68114031E-02
  0.24491700E+02  0.68753663E-02  0.68753663E-02
  0.24559000E+02  0.68409511E-02  0.68409511E-02
  0.24626300E+02  0.68014493E-02  0.68014493E-02
  0.24693600E+02  0.68245136E-02  0.68245136E-02
  0.24760900E+02  0.69150218E-02  0.69150218E-02
  0.24828200E+02  0.70057004E-02  0.70057004E-02
  0.24895400E+02  0.70345006E-02  0.70345006E-02
  0.24962700E+02  0.69871587E-02  0.69871587E-02
  0.25030000E+02  0.69135058E-02  0.69135058E-02
  0.25097300E+02  0.68957889E-02  0.68957889E-02
  0.25164600E+02  0.69921256E-02  0.69921256E-02
  0.25231900E+02  0.72243368E-02  0.72243368E-02
  0.25299100E+02  0.75689844E-02  0.75689844E-02
  0.25366400E+02  0.79525473E-02  0.79525473E-02
  0.25433700E+02  0.82814207E-02  0.82814207E-02
  0.25501000E+02  0.84595703E-02  0.84595703E-02
  0.25568300E+02  0.84499022E-02  0.84499022E-02
  0.25635600E+02  0.82897518E-02  0.82897518E-02
  0.25702900E+02  0.80843065E-02  0.80843065E-02
  0.25770100E+02  0.79226902E-02  0.79226902E-02
  0.25837400E+02  0.78544169E-02  0.78544169E-02
  0.25904700E+02  0.78891857E-02  0.78891857E-02
  0.25972000E+02  0.80173739E-02  0.80173739E-02
  0.26039300E+02  0.82314128E-02  0.82314128E-02
  0.26106600E+02  0.85237590E-02  0.85237590E-02
  0.26173900E+02  0.88779206E-02  0.88779206E-02
  0.26241100E+02  0.92393147E-02  0.92393147E-02
  0.26308400E+02  0.95819229E-02  0.95819229E-02
  0.26375700E+02  0.98996604E-02  0.98996604E-02
  0.26443000E+02  0.10237153E-01  0.10237153E-01
  0.26510300E+02  0.10605138E-01  0.10605138E-01
  0.26577600E+02  0.11023722E-01  0.11023722E-01
  0.26644800E+02  0.11497371E-01  0.11497371E-01
  0.26712100E+02  0.12045691E-01  0.12045691E-01
  0.26779400E+02  0.12704335E-01  0.12704335E-01
  0.26846700E+02  0.13433775E-01  0.13433775E-01
  0.26914000E+02  0.14094946E-01  0.14094946E-01
  0.26981300E+02  0.14464448E-01  0.14464448E-01
  0.27048600E+02  0.14382094E-01  0.14382094E-01
  0.27115800E+02  0.13863052E-01  0.13863052E-01
  0.27183100E+02  0.13067199E-01  0.13067199E-01
  0.27250400E+02  0.12219824E-01  0.12219824E-01
  0.27317700E+02  0.11517486E-01  0.11517486E-01
  0.27385000E+02  0.11062779E-01  0.11062779E-01
  0.27452300E+02  0.10900163E-01  0.10900163E-01
  0.27519600E+02  0.11002351E-01  0.11002351E-01
  0.27586800E+02  0.11335130E-01  0.11335130E-01
  0.27654100E+02  0.11821352E-01  0.11821352E-01
  0.27721400E+02  0.12381126E-01  0.12381126E-01
  0.27788700E+02  0.12916276E-01  0.12916276E-01
  0.27856000E+02  0.13326781E-01  0.13326781E-01
  0.27923300E+02  0.13520316E-01  0.13520316E-01
  0.27990500E+02  0.13440965E-01  0.13440965E-01
  0.28057800E+02  0.13133965E-01  0.13133965E-01
  0.28125100E+02  0.12709766E-01  0.12709766E-01
  0.28192400E+02  0.12407507E-01  0.12407507E-01
  0.28259700E+02  0.12466570E-01  0.12466570E-01
  0.28327000E+02  0.13104395E-01  0.13104395E-01
  0.28394300E+02  0.14335661E-01  0.14335661E-01
  0.28461500E+02  0.15962992E-01  0.15962992E-01
  0.28528800E+02  0.17707074E-01  0.17707074E-01
  0.28596100E+02  0.19322738E-01  0.19322738E-01
  0.28663400E+02  0.20742180E-01  0.20742180E-01
  0.28730700E+02  0.21984778E-01  0.21984778E-01
  0.28798000E+02  0.22992051E-01  0.22992051E-01
  0.28865300E+02  0.23603713E-01  0.23603713E-01
  0.28932500E+02  0.23557364E-01  0.23557364E-01
  0.28999800E+02  0.22710247E-01  0.22710247E-01
  0.29067100E+02  0.21170375E-01  0.21170375E-01
  0.29134400E+02  0.19225859E-01  0.19225859E-01
  0.29201700E+02  0.17268292E-01  0.17268292E-01
  0.29269000E+02  0.15594439E-01  0.15594439E-01
  0.29336200E+02  0.14317610E-01  0.14317610E-01
  0.29403500E+02  0.13414439E-01  0.13414439E-01
  0.29470800E+02  0.12778297E-01  0.12778297E-01
  0.29538100E+02  0.12284704E-01  0.12284704E-01
  0.29605400E+02  0.11844199E-01  0.11844199E-01
  0.29672700E+02  0.11397372E-01  0.11397372E-01
  0.29740000E+02  0.10935754E-01  0.10935754E-01
  0.29807200E+02  0.10456957E-01  0.10456957E-01
  0.29874500E+02  0.99820285E-02  0.99820285E-02
  0.29941800E+02  0.95574822E-02  0.95574822E-02
  0.30009100E+02  0.92029064E-02  0.92029064E-02
  0.30076400E+02  0.89400384E-02  0.89400384E-02
  0.30143700E+02  0.88066018E-02  0.88066018E-02
  0.30211000E+02  0.88183481E-02  0.88183481E-02
  0.30278200E+02  0.89990219E-02  0.89990219E-02
  0.30345500E+02  0.93697783E-02  0.93697783E-02
  0.30412800E+02  0.99181816E-02  0.99181816E-02
  0.30480100E+02  0.10611097E-01  0.10611097E-01
  0.30547400E+02  0.11376011E-01  0.11376011E-01
  0.30614700E+02  0.12180477E-01  0.12180477E-01
  0.30681900E+02  0.12991179E-01  0.12991179E-01
  0.30749200E+02  0.13856435E-01  0.13856435E-01
  0.30816500E+02  0.14771112E-01  0.14771112E-01
  0.30883800E+02  0.15635345E-01  0.15635345E-01
  0.30951100E+02  0.16259765E-01  0.16259765E-01
  0.31018400E+02  0.16415043E-01  0.16415043E-01
  0.31085700E+02  0.15978648E-01  0.15978648E-01
  0.31152900E+02  0.15009686E-01  0.15009686E-01
  0.31220200E+02  0.13740000E-01  0.13740000E-01
  0.31287500E+02  0.12410164E-01  0.12410164E-01
  0.31354800E+02  0.11225381E-01  0.11225381E-01
  0.31422100E+02  0.10273265E-01  0.10273265E-01
  0.31489400E+02  0.95526153E-02  0.95526153E-02
  0.31556700E+02  0.90119897E-02  0.90119897E-02
  0.31623900E+02  0.85986983E-02  0.85986983E-02
  0.31691200E+02  0.82859651E-02  0.82859651E-02
  0.31758500E+02  0.80441612E-02  0.80441612E-02
  0.31825800E+02  0.78668220E-02  0.78668220E-02
  0.31893100E+02  0.77531251E-02  0.77531251E-02
  0.31960400E+02  0.76943026E-02  0.76943026E-02
  0.32027600E+02  0.77133187E-02  0.77133187E-02
  0.32094900E+02  0.78389624E-02  0.78389624E-02
  0.32162200E+02  0.80882169E-02  0.80882169E-02
  0.32229500E+02  0.84835856E-02  0.84835856E-02
  0.32296800E+02  0.90011048E-02  0.90011048E-02
  0.32364100E+02  0.96271496E-02  0.96271496E-02
  0.32431400E+02  0.10286123E-01  0.10286123E-01
  0.32498600E+02  0.10900024E-01  0.10900024E-01
  0.32565900E+02  0.11385438E-01  0.11385438E-01
  0.32633200E+02  0.11681432E-01  0.11681432E-01
  0.32700500E+02  0.11813281E-01  0.11813281E-01
  0.32767800E+02  0.11820460E-01  0.11820460E-01
  0.32835100E+02  0.11705407E-01  0.11705407E-01
  0.32902300E+02  0.11451931E-01  0.11451931E-01
  0.32969600E+02  0.11051927E-01  0.11051927E-01
  0.33036900E+02  0.10559431E-01  0.10559431E-01
  0.33104200E+02  0.10063742E-01  0.10063742E-01
  0.33171500E+02  0.96447253E-02  0.96447253E-02
  0.33238800E+02  0.93667788E-02  0.93667788E-02
  0.33306100E+02  0.92283760E-02  0.92283760E-02
  0.33373300E+02  0.92345922E-02  0.92345922E-02
  0.33440600E+02  0.93142927E-02  0.93142927E-02
