   #Energy      xx(%)           yy(%)
  0.20239500E+02  0.96205022E+02  0.97322927E+02
  0.20322700E+02  0.96466363E+02  0.97562725E+02
  0.20406000E+02  0.96874837E+02  0.97716357E+02
  0.20489300E+02  0.97278133E+02  0.97790475E+02
  0.20572600E+02  0.97580712E+02  0.97807276E+02
  0.20655900E+02  0.97776214E+02  0.97802364E+02
  0.20739200E+02  0.97900744E+02  0.97800852E+02
  0.20822500E+02  0.97987132E+02  0.97809280E+02
  0.20905800E+02  0.98053889E+02  0.97824098E+02
  0.20989100E+02  0.98102044E+02  0.97841563E+02
  0.21072400E+02  0.98136454E+02  0.97869422E+02
  0.21155600E+02  0.98159535E+02  0.97909168E+02
  0.21238900E+02  0.98175031E+02  0.97952003E+02
  0.21322200E+02  0.98184198E+02  0.97981087E+02
  0.21405500E+02  0.98173916E+02  0.97985743E+02
  0.21488800E+02  0.98128205E+02  0.97973432E+02
  0.21572100E+02  0.98044008E+02  0.97950533E+02
  0.21655400E+02  0.97942011E+02  0.97911724E+02
  0.21738700E+02  0.97857702E+02  0.97837054E+02
  0.21822000E+02  0.97819087E+02  0.97707680E+02
  0.21905300E+02  0.97832064E+02  0.97523242E+02
  0.21988500E+02  0.97874722E+02  0.97327202E+02
  0.22071800E+02  0.97912613E+02  0.97196277E+02
  0.22155100E+02  0.97911983E+02  0.97178756E+02
  0.22238400E+02  0.97841227E+02  0.97256086E+02
  0.22321700E+02  0.97691582E+02  0.97362728E+02
  0.22405000E+02  0.97477555E+02  0.97442336E+02
  0.22488300E+02  0.97262525E+02  0.97483456E+02
  0.22571600E+02  0.97130270E+02  0.97503183E+02
  0.22654900E+02  0.97123356E+02  0.97510830E+02
  0.22738200E+02  0.97205210E+02  0.97498040E+02
  0.22821400E+02  0.97307351E+02  0.97435686E+02
  0.22904700E+02  0.97391346E+02  0.97294348E+02
  0.22988000E+02  0.97467892E+02  0.97072323E+02
  0.23071300E+02  0.97550800E+02  0.96824670E+02
  0.23154600E+02  0.97636001E+02  0.96650472E+02
  0.23237900E+02  0.97713682E+02  0.96618935E+02
  0.23321200E+02  0.97770965E+02  0.96699702E+02
  0.23404500E+02  0.97803248E+02  0.96805266E+02
  0.23487800E+02  0.97807321E+02  0.96871381E+02
  0.23571100E+02  0.97775696E+02  0.96891677E+02
  0.23654300E+02  0.97702297E+02  0.96889585E+02
  0.23737600E+02  0.97583934E+02  0.96873381E+02
  0.23820900E+02  0.97416109E+02  0.96825868E+02
  0.23904200E+02  0.97188713E+02  0.96731073E+02
  0.23987500E+02  0.96909046E+02  0.96592948E+02
  0.24070800E+02  0.96621705E+02  0.96426999E+02
  0.24154100E+02  0.96398141E+02  0.96263099E+02
  0.24237400E+02  0.96299783E+02  0.96145484E+02
  0.24320700E+02  0.96320220E+02  0.96128855E+02
  0.24404000E+02  0.96378626E+02  0.96234682E+02
  0.24487200E+02  0.96362321E+02  0.96404407E+02
  0.24570500E+02  0.96215077E+02  0.96542863E+02
  0.24653800E+02  0.95995668E+02  0.96606578E+02
  0.24737100E+02  0.95848953E+02  0.96625110E+02
  0.24820400E+02  0.95887376E+02  0.96646775E+02
  0.24903700E+02  0.96106697E+02  0.96659983E+02
  0.24987000E+02  0.96400545E+02  0.96584348E+02
  0.25070300E+02  0.96639400E+02  0.96341611E+02
  0.25153600E+02  0.96764212E+02  0.95962684E+02
  0.25236900E+02  0.96796498E+02  0.95638423E+02
  0.25320100E+02  0.96801446E+02  0.95588322E+02
  0.25403400E+02  0.96828996E+02  0.95866469E+02
  0.25486700E+02  0.96879679E+02  0.96323111E+02
  0.25570000E+02  0.96930949E+02  0.96750969E+02
  0.25653300E+02  0.96967369E+02  0.97033859E+02
  0.25736600E+02  0.96991766E+02  0.97173085E+02
  0.25819900E+02  0.97013256E+02  0.97221505E+02
  0.25903200E+02  0.97033380E+02  0.97224677E+02
  0.25986500E+02  0.97052121E+02  0.97211942E+02
  0.26069800E+02  0.97072533E+02  0.97198944E+02
  0.26153000E+02  0.97108792E+02  0.97193641E+02
  0.26236300E+02  0.97169001E+02  0.97196151E+02
  0.26319600E+02  0.97242542E+02  0.97206626E+02
  0.26402900E+02  0.97313737E+02  0.97223612E+02
  0.26486200E+02  0.97361740E+02  0.97236043E+02
  0.26569500E+02  0.97382950E+02  0.97237463E+02
  0.26652800E+02  0.97383406E+02  0.97224505E+02
  0.26736100E+02  0.97377411E+02  0.97203439E+02
  0.26819400E+02  0.97366570E+02  0.97180647E+02
  0.26902700E+02  0.97345996E+02  0.97152917E+02
  0.26985900E+02  0.97305853E+02  0.97120205E+02
  0.27069200E+02  0.97250812E+02  0.97085693E+02
  0.27152500E+02  0.97192204E+02  0.97051007E+02
  0.27235800E+02  0.97144763E+02  0.97014533E+02
