   #Energy      xx              yy   
  0.12858700E+02  0.15304718E+01  0.15304718E+01
  0.12920200E+02  0.16347874E+01  0.16347874E+01
  0.12981800E+02  0.19107219E+01  0.19107219E+01
  0.13043300E+02  0.22774487E+01  0.22774487E+01
  0.13104800E+02  0.25683581E+01  0.25683581E+01
  0.13166300E+02  0.27556381E+01  0.27556381E+01
  0.13227900E+02  0.29231835E+01  0.29231835E+01
  0.13289400E+02  0.30530089E+01  0.30530089E+01
  0.13350900E+02  0.30507012E+01  0.30507012E+01
  0.13412400E+02  0.29433424E+01  0.29433424E+01
  0.13474000E+02  0.28829200E+01  0.28829200E+01
  0.13535500E+02  0.28669991E+01  0.28669991E+01
  0.13597000E+02  0.28488447E+01  0.28488447E+01
  0.13658500E+02  0.28730501E+01  0.28730501E+01
  0.13720100E+02  0.29403231E+01  0.29403231E+01
  0.13781600E+02  0.30707160E+01  0.30707160E+01
  0.13843100E+02  0.31608306E+01  0.31608306E+01
  0.13904600E+02  0.30946537E+01  0.30946537E+01
  0.13966200E+02  0.29147370E+01  0.29147370E+01
  0.14027700E+02  0.26930231E+01  0.26930231E+01
  0.14089200E+02  0.24846706E+01  0.24846706E+01
  0.14150700E+02  0.23226736E+01  0.23226736E+01
  0.14212300E+02  0.22328358E+01  0.22328358E+01
  0.14273800E+02  0.22018400E+01  0.22018400E+01
  0.14335300E+02  0.21895261E+01  0.21895261E+01
  0.14396800E+02  0.21555944E+01  0.21555944E+01
  0.14458400E+02  0.20911756E+01  0.20911756E+01
  0.14519900E+02  0.20214421E+01  0.20214421E+01
  0.14581400E+02  0.19640659E+01  0.19640659E+01
  0.14642900E+02  0.19335861E+01  0.19335861E+01
  0.14704500E+02  0.19401822E+01  0.19401822E+01
  0.14766000E+02  0.19429502E+01  0.19429502E+01
  0.14827500E+02  0.19240790E+01  0.19240790E+01
  0.14889000E+02  0.18988741E+01  0.18988741E+01
  0.14950600E+02  0.18736482E+01  0.18736482E+01
  0.15012100E+02  0.18584048E+01  0.18584048E+01
  0.15073600E+02  0.18523126E+01  0.18523126E+01
  0.15135100E+02  0.18419679E+01  0.18419679E+01
  0.15196700E+02  0.18193842E+01  0.18193842E+01
  0.15258200E+02  0.18136103E+01  0.18136103E+01
  0.15319700E+02  0.18262208E+01  0.18262208E+01
  0.15381200E+02  0.18373888E+01  0.18373888E+01
  0.15442800E+02  0.18816522E+01  0.18816522E+01
  0.15504300E+02  0.19480295E+01  0.19480295E+01
  0.15565800E+02  0.20458104E+01  0.20458104E+01
  0.15627300E+02  0.21925883E+01  0.21925883E+01
  0.15688900E+02  0.23427451E+01  0.23427451E+01
  0.15750400E+02  0.24202382E+01  0.24202382E+01
  0.15811900E+02  0.24459737E+01  0.24459737E+01
  0.15873400E+02  0.23766818E+01  0.23766818E+01
  0.15935000E+02  0.21660089E+01  0.21660089E+01
  0.15996500E+02  0.19424255E+01  0.19424255E+01
  0.16058000E+02  0.17823092E+01  0.17823092E+01
  0.16119500E+02  0.16634522E+01  0.16634522E+01
  0.16181100E+02  0.15711177E+01  0.15711177E+01
  0.16242600E+02  0.15335679E+01  0.15335679E+01
  0.16304100E+02  0.15459340E+01  0.15459340E+01
  0.16365600E+02  0.15487366E+01  0.15487366E+01
  0.16427200E+02  0.14814706E+01  0.14814706E+01
  0.16488700E+02  0.13729168E+01  0.13729168E+01
  0.16550200E+02  0.12890803E+01  0.12890803E+01
  0.16611700E+02  0.12446820E+01  0.12446820E+01
  0.16673300E+02  0.12179042E+01  0.12179042E+01
  0.16734800E+02  0.12114894E+01  0.12114894E+01
  0.16796300E+02  0.12293214E+01  0.12293214E+01
  0.16857800E+02  0.12772289E+01  0.12772289E+01
  0.16919400E+02  0.13567731E+01  0.13567731E+01
  0.16980900E+02  0.14035151E+01  0.14035151E+01
  0.17042400E+02  0.13758242E+01  0.13758242E+01
  0.17103900E+02  0.13064717E+01  0.13064717E+01
