   #Energy      xx              yy   
  0.11707600E+02  0.94882352E+00  0.94882352E+00
  0.11774900E+02  0.88279026E+00  0.88279026E+00
  0.11842200E+02  0.82801193E+00  0.82801193E+00
  0.11909400E+02  0.79507471E+00  0.79507471E+00
  0.11976700E+02  0.79034294E+00  0.79034294E+00
  0.12044000E+02  0.81824834E+00  0.81824834E+00
  0.12111300E+02  0.88071160E+00  0.88071160E+00
  0.12178600E+02  0.97485581E+00  0.97485581E+00
  0.12245900E+02  0.10864926E+01  0.10864926E+01
  0.12313100E+02  0.11906404E+01  0.11906404E+01
  0.12380400E+02  0.12608128E+01  0.12608128E+01
  0.12447700E+02  0.12837398E+01  0.12837398E+01
  0.12515000E+02  0.12668656E+01  0.12668656E+01
  0.12582300E+02  0.12340584E+01  0.12340584E+01
  0.12649600E+02  0.12114300E+01  0.12114300E+01
  0.12716900E+02  0.12165788E+01  0.12165788E+01
  0.12784100E+02  0.12518235E+01  0.12518235E+01
  0.12851400E+02  0.13057223E+01  0.13057223E+01
  0.12918700E+02  0.13585070E+01  0.13585070E+01
  0.12986000E+02  0.13913249E+01  0.13913249E+01
  0.13053300E+02  0.13946913E+01  0.13946913E+01
  0.13120600E+02  0.13699298E+01  0.13699298E+01
  0.13187900E+02  0.13269154E+01  0.13269154E+01
  0.13255100E+02  0.12787263E+01  0.12787263E+01
  0.13322400E+02  0.12384396E+01  0.12384396E+01
  0.13389700E+02  0.12146665E+01  0.12146665E+01
  0.13457000E+02  0.12078156E+01  0.12078156E+01
  0.13524300E+02  0.12092604E+01  0.12092604E+01
  0.13591600E+02  0.12055792E+01  0.12055792E+01
  0.13658800E+02  0.11847749E+01  0.11847749E+01
  0.13726100E+02  0.11421049E+01  0.11421049E+01
  0.13793400E+02  0.10819297E+01  0.10819297E+01
  0.13860700E+02  0.10143617E+01  0.10143617E+01
  0.13928000E+02  0.95097681E+00  0.95097681E+00
  0.13995300E+02  0.89993063E+00  0.89993063E+00
  0.14062600E+02  0.86507419E+00  0.86507419E+00
  0.14129800E+02  0.84552130E+00  0.84552130E+00
  0.14197100E+02  0.83877437E+00  0.83877437E+00
  0.14264400E+02  0.84210422E+00  0.84210422E+00
  0.14331700E+02  0.85305760E+00  0.85305760E+00
  0.14399000E+02  0.86896938E+00  0.86896938E+00
  0.14466300E+02  0.88630332E+00  0.88630332E+00
  0.14533600E+02  0.90079759E+00  0.90079759E+00
  0.14600800E+02  0.91174328E+00  0.91174328E+00
  0.14668100E+02  0.92491753E+00  0.92491753E+00
  0.14735400E+02  0.95319557E+00  0.95319557E+00
  0.14802700E+02  0.10122086E+01  0.10122086E+01
  0.14870000E+02  0.11126472E+01  0.11126472E+01
  0.14937300E+02  0.12535441E+01  0.12535441E+01
  0.15004500E+02  0.14153706E+01  0.14153706E+01
  0.15071800E+02  0.15622179E+01  0.15622179E+01
  0.15139100E+02  0.16530463E+01  0.16530463E+01
  0.15206400E+02  0.16598781E+01  0.16598781E+01
  0.15273700E+02  0.15807231E+01  0.15807231E+01
  0.15341000E+02  0.14399882E+01  0.14399882E+01
  0.15408300E+02  0.12747453E+01  0.12747453E+01
  0.15475500E+02  0.11195656E+01  0.11195656E+01
  0.15542800E+02  0.99486120E+00  0.99486120E+00
  0.15610100E+02  0.90616541E+00  0.90616541E+00
  0.15677400E+02  0.84880878E+00  0.84880878E+00
  0.15744700E+02  0.81518004E+00  0.81518004E+00
  0.15812000E+02  0.79770983E+00  0.79770983E+00
  0.15879300E+02  0.78995365E+00  0.78995365E+00
  0.15946500E+02  0.78787798E+00  0.78787798E+00
  0.16013800E+02  0.78866372E+00  0.78866372E+00
  0.16081100E+02  0.79252462E+00  0.79252462E+00
  0.16148400E+02  0.79968247E+00  0.79968247E+00
  0.16215700E+02  0.80926008E+00  0.80926008E+00
  0.16283000E+02  0.81870510E+00  0.81870510E+00
  0.16350200E+02  0.82560261E+00  0.82560261E+00
  0.16417500E+02  0.82937284E+00  0.82937284E+00
  0.16484800E+02  0.83183907E+00  0.83183907E+00
  0.16552100E+02  0.83579755E+00  0.83579755E+00
  0.16619400E+02  0.84277251E+00  0.84277251E+00
  0.16686700E+02  0.85223354E+00  0.85223354E+00
  0.16754000E+02  0.86212289E+00  0.86212289E+00
  0.16821200E+02  0.86977252E+00  0.86977252E+00
  0.16888500E+02  0.87306110E+00  0.87306110E+00
  0.16955800E+02  0.87058650E+00  0.87058650E+00
  0.17023100E+02  0.86420829E+00  0.86420829E+00
  0.17090400E+02  0.85833306E+00  0.85833306E+00
  0.17157700E+02  0.85899229E+00  0.85899229E+00
  0.17225000E+02  0.86958050E+00  0.86958050E+00
  0.17292200E+02  0.88687945E+00  0.88687945E+00
  0.17359500E+02  0.90350519E+00  0.90350519E+00
  0.17426800E+02  0.91095574E+00  0.91095574E+00
  0.17494100E+02  0.90595318E+00  0.90595318E+00
  0.17561400E+02  0.89272955E+00  0.89272955E+00
  0.17628700E+02  0.87738108E+00  0.87738108E+00
  0.17695900E+02  0.86469057E+00  0.86469057E+00
  0.17763200E+02  0.85409627E+00  0.85409627E+00
  0.17830500E+02  0.84218500E+00  0.84218500E+00
  0.17897800E+02  0.82651033E+00  0.82651033E+00
  0.17965100E+02  0.80723459E+00  0.80723459E+00
  0.18032400E+02  0.78595290E+00  0.78595290E+00
  0.18099700E+02  0.76387475E+00  0.76387475E+00
  0.18166900E+02  0.74181228E+00  0.74181228E+00
  0.18234200E+02  0.72122185E+00  0.72122185E+00
  0.18301500E+02  0.70336130E+00  0.70336130E+00
  0.18368800E+02  0.68951103E+00  0.68951103E+00
  0.18436100E+02  0.67888146E+00  0.67888146E+00
  0.18503400E+02  0.66815585E+00  0.66815585E+00
  0.18570700E+02  0.65502037E+00  0.65502037E+00
  0.18637900E+02  0.63839090E+00  0.63839090E+00
  0.18705200E+02  0.61972091E+00  0.61972091E+00
  0.18772500E+02  0.60323895E+00  0.60323895E+00
  0.18839800E+02  0.59323807E+00  0.59323807E+00
  0.18907100E+02  0.59321567E+00  0.59321567E+00
  0.18974400E+02  0.60564337E+00  0.60564337E+00
  0.19041600E+02  0.63021912E+00  0.63021912E+00
  0.19108900E+02  0.66448012E+00  0.66448012E+00
  0.19176200E+02  0.70352806E+00  0.70352806E+00
  0.19243500E+02  0.74021805E+00  0.74021805E+00
  0.19310800E+02  0.76752329E+00  0.76752329E+00
  0.19378100E+02  0.78183127E+00  0.78183127E+00
  0.19445400E+02  0.78476681E+00  0.78476681E+00
  0.19512600E+02  0.78173243E+00  0.78173243E+00
  0.19579900E+02  0.77932777E+00  0.77932777E+00
  0.19647200E+02  0.78178394E+00  0.78178394E+00
  0.19714500E+02  0.78758811E+00  0.78758811E+00
  0.19781800E+02  0.79341363E+00  0.79341363E+00
  0.19849100E+02  0.79656258E+00  0.79656258E+00
  0.19916400E+02  0.79858662E+00  0.79858662E+00
  0.19983600E+02  0.80399734E+00  0.80399734E+00
  0.20050900E+02  0.81851488E+00  0.81851488E+00
  0.20118200E+02  0.84564484E+00  0.84564484E+00
  0.20185500E+02  0.88436980E+00  0.88436980E+00
  0.20252800E+02  0.92883972E+00  0.92883972E+00
  0.20320100E+02  0.97082364E+00  0.97082364E+00
  0.20387300E+02  0.10031305E+01  0.10031305E+01
  0.20454600E+02  0.10233550E+01  0.10233550E+01
  0.20521900E+02  0.10355551E+01  0.10355551E+01
  0.20589200E+02  0.10487459E+01  0.10487459E+01
  0.20656500E+02  0.10701898E+01  0.10701898E+01
  0.20723800E+02  0.11018447E+01  0.11018447E+01
  0.20791100E+02  0.11374505E+01  0.11374505E+01
  0.20858300E+02  0.11652253E+01  0.11652253E+01
  0.20925600E+02  0.11741994E+01  0.11741994E+01
  0.20992900E+02  0.11596665E+01  0.11596665E+01
  0.21060200E+02  0.11237858E+01  0.11237858E+01
  0.21127500E+02  0.10735328E+01  0.10735328E+01
  0.21194800E+02  0.10176552E+01  0.10176552E+01
  0.21262000E+02  0.96524987E+00  0.96524987E+00
  0.21329300E+02  0.92457680E+00  0.92457680E+00
  0.21396600E+02  0.90107736E+00  0.90107736E+00
  0.21463900E+02  0.89540246E+00  0.89540246E+00
  0.21531200E+02  0.90357535E+00  0.90357535E+00
  0.21598500E+02  0.91814248E+00  0.91814248E+00
  0.21665800E+02  0.93155577E+00  0.93155577E+00
  0.21733000E+02  0.93936846E+00  0.93936846E+00
  0.21800300E+02  0.94153659E+00  0.94153659E+00
  0.21867600E+02  0.93924172E+00  0.93924172E+00
  0.21934900E+02  0.93293960E+00  0.93293960E+00
  0.22002200E+02  0.92259362E+00  0.92259362E+00
  0.22069500E+02  0.90666735E+00  0.90666735E+00
  0.22136800E+02  0.88611342E+00  0.88611342E+00
  0.22204000E+02  0.86264729E+00  0.86264729E+00
  0.22271300E+02  0.83978341E+00  0.83978341E+00
  0.22338600E+02  0.81904276E+00  0.81904276E+00
  0.22405900E+02  0.80019216E+00  0.80019216E+00
  0.22473200E+02  0.78019529E+00  0.78019529E+00
  0.22540500E+02  0.75495801E+00  0.75495801E+00
  0.22607700E+02  0.72340709E+00  0.72340709E+00
  0.22675000E+02  0.68806257E+00  0.68806257E+00
  0.22742300E+02  0.65352586E+00  0.65352586E+00
  0.22809600E+02  0.62471494E+00  0.62471494E+00
  0.22876900E+02  0.60349627E+00  0.60349627E+00
  0.22944200E+02  0.58915880E+00  0.58915880E+00
  0.23011500E+02  0.57993974E+00  0.57993974E+00
  0.23078700E+02  0.57457530E+00  0.57457530E+00
  0.23146000E+02  0.57100742E+00  0.57100742E+00
  0.23213300E+02  0.56793491E+00  0.56793491E+00
  0.23280600E+02  0.56298908E+00  0.56298908E+00
  0.23347900E+02  0.55456720E+00  0.55456720E+00
  0.23415200E+02  0.54237431E+00  0.54237431E+00
  0.23482500E+02  0.52824026E+00  0.52824026E+00
  0.23549700E+02  0.51508106E+00  0.51508106E+00
  0.23617000E+02  0.50719036E+00  0.50719036E+00
  0.23684300E+02  0.50675779E+00  0.50675779E+00
  0.23751600E+02  0.51465449E+00  0.51465449E+00
  0.23818900E+02  0.52852321E+00  0.52852321E+00
  0.23886200E+02  0.54543816E+00  0.54543816E+00
  0.23953400E+02  0.56270898E+00  0.56270898E+00
  0.24020700E+02  0.57898220E+00  0.57898220E+00
  0.24088000E+02  0.59424638E+00  0.59424638E+00
  0.24155300E+02  0.61040760E+00  0.61040760E+00
  0.24222600E+02  0.62884454E+00  0.62884454E+00
  0.24289900E+02  0.64819987E+00  0.64819987E+00
  0.24357200E+02  0.66379031E+00  0.66379031E+00
  0.24424400E+02  0.67198464E+00  0.67198464E+00
  0.24491700E+02  0.67272660E+00  0.67272660E+00
  0.24559000E+02  0.67040253E+00  0.67040253E+00
  0.24626300E+02  0.67000816E+00  0.67000816E+00
  0.24693600E+02  0.67379710E+00  0.67379710E+00
  0.24760900E+02  0.68040132E+00  0.68040132E+00
  0.24828200E+02  0.68562534E+00  0.68562534E+00
  0.24895400E+02  0.68719907E+00  0.68719907E+00
  0.24962700E+02  0.68566381E+00  0.68566381E+00
  0.25030000E+02  0.68467727E+00  0.68467727E+00
  0.25097300E+02  0.68822385E+00  0.68822385E+00
  0.25164600E+02  0.69805034E+00  0.69805034E+00
  0.25231900E+02  0.71392126E+00  0.71392126E+00
  0.25299100E+02  0.73330270E+00  0.73330270E+00
  0.25366400E+02  0.75191801E+00  0.75191801E+00
  0.25433700E+02  0.76514817E+00  0.76514817E+00
  0.25501000E+02  0.76948358E+00  0.76948358E+00
  0.25568300E+02  0.76514297E+00  0.76514297E+00
  0.25635600E+02  0.75554216E+00  0.75554216E+00
  0.25702900E+02  0.74646263E+00  0.74646263E+00
  0.25770100E+02  0.74170071E+00  0.74170071E+00
  0.25837400E+02  0.74246708E+00  0.74246708E+00
  0.25904700E+02  0.74850887E+00  0.74850887E+00
  0.25972000E+02  0.75869053E+00  0.75869053E+00
  0.26039300E+02  0.77245418E+00  0.77245418E+00
  0.26106600E+02  0.78894016E+00  0.78894016E+00
  0.26173900E+02  0.80698319E+00  0.80698319E+00
  0.26241100E+02  0.82421371E+00  0.82421371E+00
  0.26308400E+02  0.83973712E+00  0.83973712E+00
  0.26375700E+02  0.85383538E+00  0.85383538E+00
  0.26443000E+02  0.86859365E+00  0.86859365E+00
  0.26510300E+02  0.88431678E+00  0.88431678E+00
  0.26577600E+02  0.90161372E+00  0.90161372E+00
  0.26644800E+02  0.92049245E+00  0.92049245E+00
  0.26712100E+02  0.94127380E+00  0.94127380E+00
  0.26779400E+02  0.96457475E+00  0.96457475E+00
  0.26846700E+02  0.98737272E+00  0.98737272E+00
  0.26914000E+02  0.10029564E+01  0.10029564E+01
  0.26981300E+02  0.10033251E+01  0.10033251E+01
  0.27048600E+02  0.98499425E+00  0.98499425E+00
  0.27115800E+02  0.95242791E+00  0.95242791E+00
  0.27183100E+02  0.91476504E+00  0.91476504E+00
  0.27250400E+02  0.88153389E+00  0.88153389E+00
  0.27317700E+02  0.85895719E+00  0.85895719E+00
  0.27385000E+02  0.84928629E+00  0.84928629E+00
  0.27452300E+02  0.85199535E+00  0.85199535E+00
  0.27519600E+02  0.86437045E+00  0.86437045E+00
  0.27586800E+02  0.88366704E+00  0.88366704E+00
  0.27654100E+02  0.90618295E+00  0.90618295E+00
  0.27721400E+02  0.92816997E+00  0.92816997E+00
  0.27788700E+02  0.94584644E+00  0.94584644E+00
  0.27856000E+02  0.95602513E+00  0.95602513E+00
  0.27923300E+02  0.95643719E+00  0.95643719E+00
  0.27990500E+02  0.94732539E+00  0.94732539E+00
  0.28057800E+02  0.93275943E+00  0.93275943E+00
  0.28125100E+02  0.91874980E+00  0.91874980E+00
  0.28192400E+02  0.91488098E+00  0.91488098E+00
  0.28259700E+02  0.92826820E+00  0.92826820E+00
  0.28327000E+02  0.96320604E+00  0.96320604E+00
  0.28394300E+02  0.10147019E+01  0.10147019E+01
  0.28461500E+02  0.10719076E+01  0.10719076E+01
  0.28528800E+02  0.11235596E+01  0.11235596E+01
