     #Energy   up_In_all   dw_In_all   up_Fe_all   dw_Fe_all    up_O_all    dw_O_all
   -18.72779     0.04738    -0.04738     0.14163    -0.14163     1.37900    -1.37900
   -18.71079     0.05343    -0.05343     0.17014    -0.17014     1.65419    -1.65419
   -18.69379     0.06161    -0.06161     0.20589    -0.20589     1.99877    -1.99877
   -18.67779     0.07281    -0.07281     0.24967    -0.24965     2.42297    -2.42297
   -18.66079     0.14729    -0.14726     0.42082    -0.42082     4.15246    -4.15246
   -18.64379     0.32377    -0.32377     0.84185    -0.84183     8.41424    -8.41424
   -18.62679     0.22831    -0.22834     0.74740    -0.74740     7.32840    -7.33140
   -18.61079     0.18266    -0.18266     0.64402    -0.64402     6.14688    -6.14688
   -18.59379     0.14999    -0.14999     0.51142    -0.51142     4.72737    -4.72737
   -18.57679     0.16331    -0.16327     0.58313    -0.58263     5.25570    -5.25570
   -18.55979     0.13002    -0.13002     0.47604    -0.47604     4.17639    -4.17639
   -18.54279     0.13327    -0.13327     0.51124    -0.51124     4.36523    -4.36523
   -18.52679     0.12167    -0.12167     0.47604    -0.47604     4.01321    -4.01321
   -18.50979     0.13392    -0.13397     0.55628    -0.55651     4.53820    -4.54120
   -18.49279     0.10461    -0.10461     0.45511    -0.45511     3.67577    -3.67577
   -18.47579     0.10205    -0.10205     0.47468    -0.47468     3.77450    -3.77450
   -18.45979     0.12340    -0.12340     0.61956    -0.61956     4.79166    -4.79166
   -18.44279     0.12611    -0.12611     0.68286    -0.68286     5.17815    -5.17815
   -18.42579     0.07074    -0.07074     0.44633    -0.44633     3.38295    -3.38295
   -18.40879     0.04971    -0.04971     0.35988    -0.35991     2.70885    -2.70885
   -18.39279     0.03444    -0.03444     0.30054    -0.30054     2.24043    -2.24043
   -18.37579     0.02263    -0.02263     0.24719    -0.24719     1.82550    -1.82550
   -18.35879     0.01307    -0.01307     0.18909    -0.18909     1.38514    -1.38514
   -18.34179     0.00636    -0.00637     0.15182    -0.15182     1.10026    -1.10026
   -18.32579     0.00126    -0.00126     0.05534    -0.05534     0.39843    -0.39843
   -18.30879     0.00008    -0.00008     0.00733    -0.00733     0.05253    -0.05253
   -18.29179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.27479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.25779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.24179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.22479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.20779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.19079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.17479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.15779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.14079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.12379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.10779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.09079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.07379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.05679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.04079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.02379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.00679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.98979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.97279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.95679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.93979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.92279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.90579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.88979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.87279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.85579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.83879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.82279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.80579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.78879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.77179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.75579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.73879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.72179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.70479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.68779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.67179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.65479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.63779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.62079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.60479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.58779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.57079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.55379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.53779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.52079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.50379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.48679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.47079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.45379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.43679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.41979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.40279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.38679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.36979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.35279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.33579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.31979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.30279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.28579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.26879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.25279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.23579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.21879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.20179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.18579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.16879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.15179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.13479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.11779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.10179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.08479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.06779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.05079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.03479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.01779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.00079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.98379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.96779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.95079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.93379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.91679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.90079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.88379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.86679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.84979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.83379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.81679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.79979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.78279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.76579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.74979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.73279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.71579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.69879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.68279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.66579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.64879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.63179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.61579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.59879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
